,0,1,2,3,4,5,6,7
2_85,Board the bus,Place your luggage overhead or beneath seat,Get comfortable,"Read a book, watch a movie or take a nap",Have a snack,Wait to arrive at your destination,,
2_86,Determine the bus that goes to your desired location.,Wait at the appropriate bus stop for the bus to arrive.,"When the bus and the door of the bus opens, enter it.",Deposit the fare into the container.,Take a seat on the bus.,When the correct destination is announced prepare to exit.,When the bus stops get off.,
2_87,Go to bus stop,Wait for bus,Go on bus,Pay fare,Find seat,Sit down,Ring bell to stop at destination,Get off
2_88,Walk to the bus stop,Wait for the bus to arrive,Step onto bus,Greet bus driver,Pay for ticket,Take ticket,Walk to a seat,Sit down in seat
2_89,Go to the bus stop,Wait for the bus,Board the bus,Pay for the bus,Look for a seat,"Stand if there are no seats, sit if there are seats",Look around,Get off bus at destination
2_90,Go to the bus stop,Sit on the bench,Wait for the bus,Bus arrives,Get on the bus,Pay the fare,Sit on the seat,Wait for stop
2_91,Walk to bus stop,Purchase one-way or transfer ticket,Seat yourself,Take out book and read as bus travels,Look out for your destination,Pull the cord,Listen for the ding,Wait for bus to stop
2_92,Wait for bus on a bench.,When bus arrives get in.,Pay fare.,Find a seat.,Sit down.,Arrive at destination.,Exit bus.,
2_93,Go to the bus stop,Wait for the bus,Get on the bus,Pay the fare,Ride to your destination,Get off the bus,,
2_94,Wait at the bus stop,Get on the bus when it arrives,Pay the fare,Find a seat,Ride the bus to your destination,Get off the bus,,
2_95,Walk to bus stop,Wait for a very long time,Think you missed bus,Bus comes,Pay fare,Find a seat,Ride bus,
2_96,Decide which bus is needed to get to the destination.,At the appropriate time walk to the bus stop.,Wait for bus.,When bus arrives board the bus.,Pay the appropriate fare.,Find a seat.,Sit in the bus until you get near your bus stop.,Pull the cord.
2_97,Approach the bus stop,Wait for the bus,Buy a ticket,Board the bus,Sit down,Ride,,
2_98,Enter the bus,Find the seat,occupy the seat,Take the ticket,Wait for our place,Leave the bus,,
2_100,Stand at bus stop,"When bus arrives, get on",Give money or ticket to the bus driver,sit and wait for stop,Get off when ready,,,
