,0,1,2,3,4,5,6,7,8,9,10,11,12
2_50,turn on water,close the drain,take off clothes,get into tub,wash body,wash hair,rinse off,open the drain,get out of tub,dry off,put on clean clothes,,
2_51,Walk in bathroom,Turn bathtub on,Plug bathtub up,Take clothes off,Get in bathtub,Wash body,,,,,,,
2_52,Go into bathroom,Set water at warm temperature,Turn water on,Plug bottom of the drain,Wait for water to fill,Turn water off,Take off clothing,Sit in bath,"When ready, sponge body with soap",Shampoo hair,Rinse hair,Rinse body,Get out of tub
2_53,start water filling bath,get towel,remove clothing,get in bath once it is full,wash yourself,get out,,,,,,,
2_54,Plug the tub,Run the water,Take off clothes,Get in tub,Get bar of soap,Wash your body,Get shampoo,Wash your hair,Rinse your hair and body,Get out of tub,Drain the tub,Dry yourself with a towel,Get dressed
2_55,Turn on hot water,Plug tub drain,Fill tub,Take clothes off,Get into tub,Take bath,Get out of tub,Dry off,Get dressed,,,,
2_56,Choose clean clothes,Choose a towel,Turn on water in tub,Adjust water to correct temperature,Put drain plug in drain,Add bubble bath to water,Remove clothing,Enter tub,Turn off water,Wash body,Soak and relax,Remove drain plug,Leave tub
2_57,Take off clothes,Turn on water,Adjust water temperature,Plug the water drain up,Wait for the water level to be just right,Turn off water,Get into the tub,Wash body with soap,Lather hair with shampoo,Rinse off body and hair,Get out of tub,Dry body off with towel,Put clothes on
2_58,Getting the towel ready for afterwards,Running the water,Add the bubble bath,Find the right water temperature,Close the drain,Fill the tub,Get in the tub and enjoy,Wash myself and relax,Let water out of tub,Get out of tub and dry off,,,
2_59,pick out bubble bath,start water,wait for water to get to the right temp,plug tub drain,start to fill tub with water,pour bubble bath into water,take off clothes,get into tub,sink down into tub and sigh,enjoy bath for 1 hour.,pull drain plug,get out of tub,dry off
2_60,Turn on tub faucet,Let water warm to desired temperature,Let tub fill to desired depth,Put plug into drain to hold water,Get undressed,Get into tub in seated position,Relax or wash,"When finished, get out of tub",Pull plug and let water drain out,Dry off and get dressed,,,
2_61,Go into the bathroom,Fill the tub with warm water,Undress,Get into the tub,Wash your body,Get out of the tub,Dry with a towel,Get dressed,,,,,
2_62,Turn on shower,Make sure water is at a good temprature,Take of clothes,Grab a washcloth,Go in shower,Wash out hair,Apply body soap to washcloth,Use washcloth to wash body,Let water wash the soap off,Turn off shower,Get out of shower,Dry up,Put on new clothes
2_63,Go in the bathroom,Fill up tub,Get undressed,Wait for tub to fill,Get in tub,Soak,Wash body,Wash hair,Rinse,Drain tub,Dry off,Get dressed,
2_64,Fill tub with warm water.,Turn on music.,Get a magazine.,Put bath salts and bubble bath in water.,Take off clothes.,Get in bath.,"Enjoy the bath, music, and magazine.",Drain the water.,Put away the magazine.,Turn on the shower.,Shower quickly.,Turn off water.,Get out of the tub.
2_65,Walk to the bathroom,Turn on the light,Walk to the tub,Turn on the faucet,Remove your clothes,Wash your body,Soap your body,Wash the soap off,Apply shampoo to hair,Wash hair,Apply conditioner to hair,Wash hair,Turn off faucet
2_66,walk into the bathroom,draw the bath,fill up the tub,get undressed,add bubble bath,step into tub,wash thoroughly,empty tub,dry off,,,,
2_67,Go to the restroom,Remove clothing,Turn on the shower,Enter the shower,Scrub down with soap and water,Rinse and repeat,Exit shower,,,,,,
2_68,PUT THE PLUG IN THE BATH,TURN WATER ON,PUT BUBBLE BATH IN THE WATER,WAIT FOR BATH TO FILL,CHECK THE WATER TEMPERATURE,GET IN THE BATH,RELAX,CLEAN YOURSELF,GET OUT OF THE BATH,WRAP YOURSELF IN A TOWEL,REMOVE THE PLUG AND DRAIN THE WATER OUT OF THE BATH,,
2_69,Go to the bathroom.,Turn on the water.,Close the drain.,Wait for the tub to fill up to desired level.,Turn off the water.,Take off clothes.,Step into tub.,Soak in tub and enjoy.,,,,,
2_70,"Turn on faucet and adjust water to correct temperature,","Put plug into drain so that tub will fill with water,",Add bubble bath to water if desired.,Wait for tub to fill with waters.,Turn off faucet.,Undress and carefully get into tub.,Relax in tub.,Wash body.,Carefully get out of tub.,Remove plug from drain so water empties tub.,Get dressed.,Wash any dirt from tub.,
2_71,Turn on the water faucet,Undress while the tub fills with water,Get in the tub,Wash your hair and body,Get out of tub,Dry yourself off and put your clothes on,Let the water out of the rub,,,,,,
2_72,collect body towel,place plug on bathtub drain,turn on water,fill bathtub to desired level,turn off water when full,get into bathtub,,,,,,,
2_73,Turn water on to desired temperature,Fill tub with water,Remove clothing,Get in water-filled tub,Use soap and water to clean body,Relax in bath tub,Rinse body,Get out of tub,Dry body with towel,,,,
2_74,Find bathtub plug,Plug up drain,Fill up tub,Test water temperature,Get undressed,Get in tub,Wash hair,Wash body,Soak,Unplug drain,Get out,Dry off,
2_75,Go into bathroom.,Close bathtub drain.,Turn on water.,Add bubbles.,Fill tub with water.,Turn water off.,Take off all your clothes.,Slowly get into bathtub.,Lay down and relax.,Wash yourself with soap.,Get out on to rug.,Grab a towel and dry off.,Drain tub.
2_76,Run bath water.,Add bubble bath.,"Gather your bathing supplies: body wash, loofah, towel, rubber duck, etc...",Turn off bath water.,Get in tub.,Lather your body with soap.,Wash your whole body with your loofah or towel.,Rinse yourself off.,Make sure you've gotten all the soap off of you.,Get out of tub.,Dry yourself off or let yourself air dry.,,
2_77,Turn on water,Plug the drain,Add bubbles if you want,Take off clothes,Get out towel,Step into bath and enjoy,"When finished, unplug drain,",Stand up,Grab towel,Start to dry off,Step out tub,Finish drying off,
2_78,Gather clothing that you will put on after taking a bath.,Go to bathtub and begin to run hot bath water.,Add bubble bath soap to the water if you would like bubbles.,Turn water off when the tub is as full as you would like.,Undress yourself and get into the bath tub.,Wash hair with shampoo.,Wash body with soap.,"Shave legs, if desired.",Pull the bath tub plug when you are finished bathing.,Get out of bath tub.,Dry yourself off.,"Use blow-dryer to dry hair, if desired.",Get dressed.
2_79,Take off my clothes.,Place a towel nearby.,Light candles.,Place in bubble bath soap.,Run the water.,Get in the bath.,,,,,,,
2_80,clean bathtub,fill up bath water with warm water,add bubbles or bath soaps as you desire,watch water so it doesn't overflow,once filled take off clothes,step in bath,wash yourself with a washcloth with soap,or just relax,,,,,
2_81,Go to the bathroom,Remove the clothes,Open the shower,Wash the body with water,Apply soap,Rinse the body under shower,Wipe the body with a towel,Wear the towel,Come out from bathroom,,,,
2_82,Gather towel and fresh change of clothes.,Close drain.,Run water into bath.,Check temperature.,Undress.,Slowly enter bathtub.,,,,,,,
2_83,Put plug in drain,Fill bathtub halfway with warm water,Take off clothes,Get into bathtub,Use soap to wash body,Rinse soap off with water,Remove plug from drain,Get out of bathtub,Use towel to dry off,,,,
2_84,Depress tub stopper and turn on water to desired temperature.,Fill tub and turn off water.,Get wash cloth and body wash.,Put bath towel on floor beside tub.,Remove clothing and place on counter.,Step into tub and sit down.,Open body wash and pour small amount on wash cloth.,Wet cloth in the water and wash body.,Drain water and turn on shower to desired temperature.,Rinse off body quickly and turn off water.,Step out of tub onto bath towel.,Get body towel from rack and wrap around body.,Wring out wash cloth and place it and bath towel in hamper
2_85,turn on water,find desired temperature,plug bath tub,add bubble bath,turn off water when tub is full,undress,get in bathtub,soak,clean yourself,get out of bath,dry off,unplug bath tub,let water drain
2_86,Run the water,Take off clothes,Get into the water,Clean  up,Get out of the tub,Drain the water,Dry off,Put clothes back on,,,,,
2_87,walk into restroom,undress,start the water,step inside the shower/tub,rinse off,poor shampoo or soap on body,rinse off shampoo,step out and dry with towel,,,,,
2_88,Plug the bath drain.,Begin running the water.,Check the temperature of the water and adjust as needed.,Undress.,Step into bath.,Use towel and soap to clean yourself.,Rinse all soap off body.,Drain tub.,Step out of tub.,Dry off with towel.,,,
2_89,ENTER THE BATHROOM,BRUSH TEETH WITH SALT,CLEAN THE TONGUE,FILL THE WATER IN BATH TUB,REMOVE CLOTHES AND LIEDOWN THE TUB,CLEAN THE BODY WITH SOAP,WEAR NEW CLOTHES,COME OUTSIDE,,,,,
2_90,Take towel,Enter the bathroom,Remove dress,Hang towel and dress in hanger,Open tap,Fill bucket,Take mug,Wash yourself,Put soap,Wash yourself again,Close the tap,Wipe using towel,Leave the bathroom
2_91,go to the bath,undress yourself,step into the bath,apply soap all over your body,scrub well,wash with water,,,,,,,
2_92,Enter bathroom,Put plug in tub,Fill with hot water and optionally bubbles,Get in tub,Clean yourself,Lay in tub and relax,Get out,Towel off,,,,,
2_93,Verify bathtub is clean and working properly,Turn on water,Test water with hand to feel temperature,Adjust tap as needed to reach desired temperature,Fill tub with water,Turn off water when desired water level is reached,Remove clothing and step into tub,Lay down or sit as desired,"Wash body with soap, shampoo if desired",Rinse body,Get out of tub and dry self with towel,Pull stopper from tub and let water drain,
2_94,Go to bathroom,Put stopper into bath tub bottom,Turn on hot and cold water,Adjust temperature to your taste,Wait for bath to fill with water,Turn off water,Get into bathtub.,Wash yourself,Get out of bathtub,Towel off to dry,Release stopper in bathtub to drain bath.,,
2_95,Get change of clothing ready,Get towel,Turn on water,Wait for water to reach desired temperature,Insert plug in bathtub,Fill tub to desired level,Get into tub,Apply soap,Rinse soap,Stay in tub until water no longer comfortable,Exit tub,Towel dry,Drain tub
2_96,Plug drain,Turn on water,Check temperature of water and adjust as needed,"Allow tub to fill up to desired depth, typically 5-7 inches",Get in tub and sit down,Use hand or a cup to wet your body and hair,Use shampoo,Rinse hair using bath water and a cup,Wash body with a wash cloth,Rinse body using cup and bath water,Get out of tub and dry off with a towel,Pull the plug and allow tub to drain,
2_97,Move handle to select hot water.,Run water until it's hot.,Put plug in tub.,Fill tub with an inch of hottest water.,Move handle to select warm water.,Continue filling tub.,Remove clothing.,Get into tub.,Turn off water.,Soak in water.,Wash self.,Rinse self.,Take plug out of tub.
2_98,Undress.,Run water into the tub at the desired temperature.,"Get soap, wash cloth and a towel.",Get into the tub,Apply soap to the wash cloth.,Rub the soapy cloth over the entire body.,Rinse the soap off with water from the tub,Rinse the soap off with new water from the tap.,Stand,Let the water out of the tub,Dry with the towel.,,
2_99,Go to bathroom,Use toilet,Take clothes off,Turn water on,Get right temperature,Add bubble bath,Get wash cloth,Get in tub,,,,,
2_100,Enter the bathroom.,Take clothes off.,Enter the shower/tub.,Add soap to sponge.,Scrub body.,Rinse off.,Exit shower/tub. ,Dry with a towel.,,,,,
