,0,1,2,3,4
2_65,PUT INSTANT COFFEE IN A MUG,PUT WATER IN THE KETTLE,BOIL THE KETTLE,ADD SOME SUGAR TO THE COFFEE,"WHEN THE KETTLE IS BOILED, ADD WATER TO MUG"
2_66,Put coffee into the machine,Fill the water compartment with water,Brew the coffee,Pour coffee into a cup,Add cream and sugar.
2_67,Get coffee out,Pull coffee make near sink,Fill coffee maker with water,Put coffee filter in coffee maker,Add measured amount of coffee
2_68,Take out fresh coffee grounds and a filter.,Put the filter into the basket of the coffee maker.,Add fresh coffee grounds into the filter.,Close the basket compartment.,Add the desired amount of water to the coffee maker's water chamber.
2_69,Turn on the Keurig coffee machine,Fill the machine with water,Put the K cup inside the machine,Shut the top over the K cup,Chose the cup size
2_70,dump old coffee,fill water dispenser with water,place coffee filter in coffee dispenser,place coffee on coffee filter,turn on coffee pot
2_71,Get coffee filter,Place coffee filter in coffee maker,Fill receptacle with desired amount of water,Place desired amount of ground coffee in coffee filter,Close top of coffee maker
2_72,Get coffee grounds.,Get a coffee filter.,Open coffee maker.,Put in filter.,Scoop coffee and put in filter.
2_73,Put filter into coffee maker,Grind beans in coffee grinder,Put grounds into filter,Fill up pot with water,Pour water into reservoir of coffee maker
2_74,Place water in the coffee maker.,Change the filter.,Measure coffee.,Put coffee in the new filter.,Start machine.
2_75,open coffee bag,open top of coffee machine,put filter in coffee machine,place desired amount of coffee grounds into cone,close the cone
2_76,Get out coffee and filters,Open coffee maker basket,Place filter in coffee maker basket,Measure out coffee into basket,Close coffee maker basket
2_77,Get milk,Get coffee powder,Pour milk into the bowl,Place the bowl in stove,Ignite the stove
2_78,Open coffee maker lid.,Get large cup and fill with water.,Pour water into coffee maker tank.,Get coffee filter and put into basket inside coffee maker.,Get coffee can.
2_79,Add water to coffee pot,Put coffee bag on top,Turn the pot on,Wait for the water to finish,Put coffee in cup
2_80,turn coffee machine on,choose desired coffee,put coffee ground into machine,put water into machine jar,let machine do its cycle
2_81,Put filter into coffee maker.,Measure coffee and put into filter.,Measure water and set into coffee maker.,Put coffee pot in drip location.,Turn coffee maker on.
2_82,Buy preferred brand of coffee,Open coffee,Get coffee pot,Put coffee in compartment,Add water to pot
2_83,Get coffee filter,Place coffee filter inside coffee maker,Get your favorite coffee,Scoop coffee into coffee filter,Fill coffee pitcher with water
2_84,Take Coffee kettle,Pour some water,Keep kettle on stove,Light the stove,Wait for water to boil
2_85,TAKE MILK,SWITCH ON THE STOVE,BOILING THE MILK,FILL THE MILK IN SAUCER,ADD COFFEE POWDER
2_86,Plug in coffee maker,Add coffee beans,Add water,Push buttons on machine,Wait for it to make coffee
2_87,Get coffee grounds and coffee maker (and filter if necessary),Plug in coffee maker,Add water to coffee maker reservoir,"Add coffee grounds (and filter, depending on type of coffee maker) to basket",Place basket in coffee maker
2_88,Turn on Keurig coffee maker,Remove coffee grounds from freezer,Fill coffee filter with grounds,Place filter in appropriate receptacle,Place mug under receptacle
2_89,Boil water in a pan,Add sugar and milk,Add coffee powder,Stir the mixture and let it boil,Pour and serve
2_90,Make fire,Take the milk,Adding sugar,Taste the coffee,Last ready for good filter coffee
2_91,grab coffee filter and place in the machine,measure out coffee grinds,fill carafe with water and put water into the coffee machine,put coffee carafe back in position,turn machine on
2_92,Measure 4 coffee scoops of whole coffee beans into a grinder.,Grinder the beans into a fine ground.,Place a paper filter into the proper location of the coffee maker.,Fill the filter with the ground coffee.,Close the coffee maker.
2_93,Plug in coffee-maker,Get filter,Put filter in coffee-maker,Open coffee,Put coffee in filter
2_94,Get coffee beans,Get coffee filter,Put in coffee maker,Run the coffee maker,Get coffee mug
2_95,Take out coffee canister,Take out filter,Put filter in coffee maker,Measure out two tablespoons,Pour coffee grounds into filter
2_96,Get mug,Get instant coffee,Put coffee into mug,Boil water,Pour water into mug
2_97,Get a coffee filter.,Measure out enough for 8 cups.,Put coffee filter into slot.,Fill pot with water.,Pour water into reservoir.
2_98,Get coffee grounds.,Get coffee filter.,Pour water into coffee maker.,Put filter into coffee maker.,Put coffee grounds into coffee maker.
2_99,Get in the car.,Enter the starbucks.,Wait in line.,Give my order.,Savoir in the mediocre goodness.
2_100,plug in coffee maker,select flavor of coffee,add water to tank,close lid ,press start
