,0,1,2,3,4,5,6,7
2_54,Gather up all dirty dishes,Open the dishwasher,Place them into the dishwasher,Put the detergent into the dishwasher,Close the dishwasher,Select the type of wash,Turn the dishwasher on,
2_55,gather dirty dishes,put dishes in dishwasher,get dishwasher pack,put dishwasher pack in dishwasher,close door,turn dishwasher on,wait for dishes to be done,
2_56,fill sink with water,add soap,add dishes a few at a time,clean off dishes,place clean dishes in dry rack,,,
2_57,stack dishes,rinse top dish,scrub dish,dry dish,place dish in drying rack,repeat,,
2_58,fill sink with water,place dishes in water,add soap,run rag over dishes,rinse off dishes,dry off finished dishes,,
2_59,Fill one sink with hot water and soap,Pile dirty dishes into water-filled sink,Let soak for at least 20 minutes,Scrub one dish with Brillo pad,Rinse dish with water in the empty sink,Let dish dry on dish rack,Repeat steps 4-6 until all dishes are clean,Put dry dishes in appropriate cabinets
2_60,Go into the kitchen,Fill the sink with hot water and soap,Add the dishes,Get a sponge,Wash and rinse each dish,Put the dishes onto the drying rack,Drain the dishwater,Rinse out sponge
2_61,Plug sink drain,Turn on warm water in kitchen sink,Add soap to water,Put dishes in soapy water,Pick dish up and scrub with brush or sponge,Rinse soap off the dish,Dry dish with towel and set aside,Continue with each dish
2_62,Go to the kitchen,Go to the sink,Turn on the water,Grab a dirty dish,Grab a dish rag,Put dish washing detergent on it,Wash the dish,
2_63,Fill sink with water,Soap up the water,Get sponge,Soak dishes in water,Scrub the dishes,Wash the water off the dishes,Place the dishes in try to dry,
2_64,Fill up the sink with water,Add dish soap,Wash dishes in soapy water,Rinse with clean water,Add dishes to dish rack to dry,,,
2_65,FILL BOWL WITH WASHING UP LIQUID AND HOT WATER,SUBMERGE DIRTY DISHES IN THE WATER,USE WASHING UTENSIL TO SCRUB CLEAN,RINSE SUDS OFF CLEAN DISHES,DRY DISHES,PUT IN THE CUPBOARDS.,,
2_66,Collect dirty dishes,Rinse the dishes in water,Use dish-washing liquid on a scrub,Clean the dishes thoroughly, Rinse again to remove soap from the dishes,,,
2_67,Put dirty dishes in the sink.,Take out a sponge.,Put dish detergent on sponge.,Wet the sponge with water.,Wet the plate with water.,Rub sponge with the detergent on the plate to remove all residue.,Rinse off soap and water and residue from plate.,Place plate on dish rack/drain board.
2_68,Put dishes in sink,Put drain clog in sink,Fill sink with soapy water,Soak dishes,"Start scrubbing dishes with a rag, sponge, or brillo pad",Put dishes away in dish rack,Repeat,
2_69,Gather dirty dishes.,Fill sink with soapy water.,Rinse solid food from heavily soiled dished.,Wash dishes one by one in soapy water.,Rinse dished one by one.,Place rinsed dishes on a drying rack.,Empty dishwater from sink when all dishes are done.,Put dishes away when dry.
2_70,collect all dirty dishes,place plug in sink drain,fill sink with warm water,pour soap in water,place dirty dishes in sink,apply soap to sponge,wash dishes manually using sponge to remove grime,place washed dishes in separate clean sink
2_71,Turn on hot water.,Put dish soap on dish sponge.,Rub sponge on dirty dish until all food is gone.,Rinse dish.,Put dish on drying rack.,Repeat staps 3-5 until all dishes are cleaned.,,
2_72,Place dirty dishes in sink,Get dish soap,Fill sink with hot water,Let dishes soak,Scrub dishes until clean,Rinse dishes and place in dish rack to dry,,
2_73,Fill sink with soap and water.,Collect dirty dishes around house.,Put dishes in sink.,Get scrub pad.,Wash dishes.,Rinse dishes.,Put dishes in dish drainer.,Empty sink.
2_74,Fill sink with hot water,Fill sink with dish soap,Put on your rubber gloves,Place all dirty dishes in the dish water,Grab a sponge,Scrub each dish thoroughly,Rinse each dish with clean water to get soap off,Place dishes on rack to dry
2_75,Put stopper in the sink,Turn the hot water on,Wait for the water to partially fill the sink bowl,Turn water off,Add dishwashing liquid,Put dishes in sink,Grab dishcloth,Use cloth to scrub dish
2_76,Pick up a dirty dish.,Rinse the dish.,Place in soapy water.,Scrub the dish clean.,Rinse the dish.,,,
2_77,Empty dish-washing machine,Rinse cups and put them into top rack of dishwasher.,Rinse plates and put them in bottom rack of dishwasher.,Rinse bowls and put them in bottom rack of dishwasher.,Rinse silverware and place into silverware basket.,Add dishwasher detergent to soap receptacle.,Close dishwasher door.,Start dishwasher.
2_78,turn on kitchen faucet,wait for water to warm,rinse plates,open dishwasher,place plates in dishwasher,rinse bowls,place bowls in dishwasher,rinse and place cups in dishwasher
2_79,Turn on the  sink.,Let the water get warm or hot.,Wet the sponge.,Put soap on the sponge.,Rub the soap into the sponge.,Pick up a dish.,Wet the dish.,Rub the sponge on the dish to remove all dirt and grime.
2_80,Turn on water faucet,Make water desired temperature,Put plug in drain,Add dish washing soap,Add dirty dishes,Allow sink to fill to desired level,Turn off water,Use dish cloth to remove food from dish
2_81,Turn hot water on,Put on gloves if desired,Wet sponge,Put soap on sponge,Rinse water over dirty dish,Wipe dirty dish with soapy sponge until clean,Rinse soapy water off now clean dish,Put clean dish on drying rack
2_82,Place dirty dishes in sink.,Fill sink with hot water and dish detergent,Let soak,"Use sponge to wipe off plates, utensils, bowls, and glasses.",Empty dirty water.,Rinse dishes with clean water,Place dishes on drying rack,
2_83,use plastic gloves,put dirty dishes into sink,rinse dishes with warm water,apply soap to sponge,wipe dishes with sponge,rinse soap off dishes,store onto tray to dry off,
2_84,Clear the dishes off any food remains,Open the dish washer door,Arrange dishes in dish washer,Add Dish washing liquid,Switch on the dish washer,Select the mode,Press Start button,Wait till a completion beep comes from the dish washer
2_85,Fill up sink with water and soap,Put dirty dishes into water,Soak dishes for a few moments,Pick up a dish and clean with sponge,Then rinse dish with water,Put cleaned dish in dish rack,Repeat with all dishes,
2_86,Gather all dirty dishes in kitchen in one area,Turn on kitchen faucet and run warm to hot water,"Using a sponge, place each individual dish one at a time under water and wipe off dishes",Place prewashed dishes carefully into dishwasher,Add detergent to dishwasher,Close dishwasher door and set time/cycle,Wait until dishwasher's cycle is finished,Open door of dishwasher to verify cleanlines
2_87,Gather dishes to be washed,Place dishes in sink,Fill sink with hot water with dish soap,Fill another sink with plain hot water,Wash dishes with dish cloth in soapy water,Rinse dishes in clear water,Place washed and rinsed dishes in drain tray,Drain and rinse both sinks
2_88,Open door of dishwasher,Take clean dishes out of dishwasher,Put dirty dishes into dishwasher,Put dish washing detergent into dishwasher,Close door of dishwasher,Select how long to wash dishes,Turn on dish washer,Wait for dishwasher to finish
2_89,Turn on water to desired temperature,Apply dish soap to sponge,Use sponge to remove and clean dishes,Rinse soap off dishes,Place rinsed dishes in drying rack,Turn off water,Dry hands,
2_90,Get sponge,Wet sponge,Put a few drops of dish soap on the sponge,Use sponge to scrub dirty dishes,Turn on faucet,Rinse soapy dishes until no longer soapy,Put rinsed dishes in dish rack to dry,
2_91,Rinse the dishes to remove large morsels of food.,Run the garbage disposal while the water runs.,Place the dishes into the dishwasher.,Add dishwasher soap to the dishwasher.,Close the door to the dishwasher.,,,
2_92,"Soak dishes in sink of water, if necessary.",Wipe any food off dishes.,Put dishes into dishwasher.,Put soap into dishwasher dispenser.,Close dishwasher door.,Select correct cycle.,Turn on dishwasher.,
2_93,Gather dirty dishes,Put them in sink,Turn on hot water,Pick up sponge,Put detergent on it,Pick up dirty dish,Wash dish with water and sponge,Rinse soap off dish
2_94,Put all of the dirty dishes in the sink,Get a sponge and dish soap,Put some dish soap on the sponge,Wet the sponge and get it bubbly,Run water and wash  food off of plates,Wash with sponge,Dry cleaned dishes with towel,Put dishes on rack to dry
2_95,Turn on the water,Let the water get hot,Put soap on the sponge,Use the sponge to wash food off dishes,Rinse the soap off dishes,Put dishes in drying rack,,
2_96,Place plug in sink drain,Place dirty dishes in sink,Run hot water to fill the sink,Add washing-up liquid,Add bleach,Allow dishes to soak for five minutes,Scrub dishes with pot scrubber or washcloth,Pull the sink plug and allow dishes to drain
2_97,Put stopper in sink,Fill sink with hot water,Add detergent,"When sink is filled, turn water off",Put glasses into water,Wash glasses,Put glasses in dish rack,Put plates in water
2_98,Plug sink,Fill sink with soapy water,scrub dishes in water,Rinse the dishes,Set them up to dry or towel them down,,,
2_99,Gather dirty dishes,Place dishes into dish washer,Put soap in dish washer,Turn dish washer on,Wait for dish washer to finish,Place dishes back in cupboard,,
