,0,1,2,3,4,5,6,7,8,9
2_43,Gather dirty clothes,Take them to the washer,Turn on washer,Add soap to washer,Place close in washer,Once washer is down remove clothes,Place in dryer,Turn on dryer,,
2_44,Get dirty clothes,Take to laundry room,Get washing powder,Put 1 cup of powder in machine,Put clothes in machine,Choose cycle,Push start button,Wait until done,Pull clothes out of washer,Put in dryer
2_45,Gather dirty laundry,Take it to the washing machine,Turn on the washing machine,Set to desired cycle,Pour desired amount of laundry soap in,Let the soap lather,Add dirty clothes,Close lid,Let the machine run a full cycle,Switch the clothes into the dryer
2_46,sort whites from colored clothes,put clothers in washer,decide water temp and water level,add soap,start washer,,,,,
2_47,bag up laundry,go to laundry mat,put laundry in washer,pull laundry out of washer,put laundry in dryer,pull laundry out of dryer,fold laundry,,,
2_48,put dirty laundry into washing machine,put detergent into washing machine,select was cycle,turn on washing machine,wait for cycle to end,put wet laundry into dryer,put fabric softener into dryer,turn dryer on,wait for cycle to end,remove clean clothes from dryer
2_49,Sort clothes by color and how they should be washed,Pretreat any stains on clothing,Choose a pile of clothes,Add soap to the washer,Add fabric softener to the washer,Add clothes,Turn on washer,"When cycle is finished, remove clothes",Put clothing in dryer.,Add dryer sheet
2_50,putting dirty clothes into the washer,cleaning the dirty clothes,washing clothes at the laundry,putting clothes into the dryer,freshening up the dirty clothes,,,,,
2_51,grab dirty laundry,load into washing machine,add detergent,put on machine,remove washed laundry,dry laundry,,,,
2_52,Gather dirty clothes,Take to laundry room,Choose correct settings on washing machine,Turn on washing machine,Add laundry detergent to washing machine,Add dirty clothes to washing machine,Close lid of washing machine,"When complete, put wet clothes in dryer",Choose correct settings on dryer,Turn on dryer
2_53,get laundry to car,drive to laundry mat,put laundry in washer with soap,take laundry out of washer when done,place laundry in dryer,take laundry out of dryer,fold laundry,go home,,
2_54,Obtain dirty clothes,Place clothes in the washer,Place liquids in the washer,Close the lid,Input the washing instructions,Wait till clothes are washed,Place clothes in the dry,Input dryer settings,Wait for the clothes to dry,Remove the clothes
2_55,Placed al dirty clothes in washing machine.,Following directions add detergent.,Wait for complete run of washing machine.,Take clothes out of washing machine.,Place clothes in dryer.,Remove clothes from dryer when dry.,Fold and put away clothes.,,,
2_56,put dirty items in washing machine,add detergent,set dials to appropriate settings,push start button,wait for cycle to finish,remove wet clothes from washer,put wet clothes in dryer,add softener sheet to dryer,check dryer vent,remove lint from vent if needed
2_57,put dirty items in washing machine,add detergent,set dials to appropriate settings,push start button,wait for cycle to finish,remove wet clothes from washer,put wet clothes in dryer,add softener sheet to dryer,check dryer vent,remove lint from vent if needed
2_58,Get dirty hamper.,Put dirty clothes in washer.,Pour detergent.,Start washer.,Wait for clothes to finish,Move wet clothes to dryer.,Start dryer.,Remove clean clothes.,Fold clothes.,Put clothes in their proper place.
2_59,Get a load of clothing together,Turn on water in washing machine,Add detergent,Add clothing,Close washer lid and wait,Add clothing to dryer when finished washing,Turn on dryer,Fold clothes when dry,Put clothes away,
2_60,Gather dirty laundry into a basket,Take to the washing machine,Open the washer,Add detergent,Add clothes,Close the lid,Turn on the machine,When machine is done washing open lid,Remove clothes,Open the dryer
2_61,Find clothes basket,Take basket to laundry room,Put clothes in wash,Get detergent,Put detergent in wash,Turn on settings,Wait for clothes,Put clothes in dryer,Wait,Take out clothes
2_62,Go to the laundry hamper,Get a laundry basket,Fill it with close,Take the basket full of clothes to the laundry room,Put the laundry in the machine,,,,,
2_63,Put dirty laundry in washing machine,Pour correct amount of soap and/or bleach and/or fabric softener,Close lid,Turn washer on,Remove clothes when washer finishes,Put wet clothes in dry,"When clothes are dry, fold or put away in closet",,,
2_64,gather up dirty clothes,sort laundry by colors and type of materials,place first load in the washing machine,close the door,add detergent to the machine,select washing settings,press start and wait for laundry to finish,,,
2_65,Get laundry from hamper and put into laundry basket.,Go to washer.,Put clothes into washer.,Add cap-full of liquid detergent.,Set temperature on washer.,Set the wash length.,Close the lid.,Start the washer by pushing in the control knob.,,
2_66,Gather the laundry into a laundry basket.,"Sort the laundry into lights, darks and whites.",Put a load of laundry into the washing machine.,Add laundry detergent.,Start the washing machine.,Wait until the washing machine cycle is done.,Move the laundry from the washing machine into the dryer.,Start the dryer.,Wait until the drying cycle is done.,Remove the clothes from the dryer.
2_67,Collect dirty clothes,Wash the clothes with water and detergent,Rinse the clothes,Dry the clothes,Iron the clothes,,,,,
2_68,Gather clothing and other items that need to be laundered.,Start washing machine so that the tub begins to fill with water.,Add desired amount of detergent to the filling tub.,Add clothing and other items to be laundered into the washing tub.,Close the lid of the washer.,Wait until the washer has stopped washing.,Open the lid of the washer.,Take out the items that were washed.,Place the wet items into the dryer.,Turn dryer on.
2_69,collect clothing,turn on washer to selected setting,place dirty clothing in washing machine,add detergent and fabric softener,close lid to washing machine,wait for washing machine to finish washing clothing,when done place clothing in dryer,turn knob to desired setting,wait for dryer to dry clothing,when finished hung up/fold clothing
2_70,Take dirty clothes to laundry room,Separate whites and colors into separate loads,Turn on washing machine,Add laundry detergent,Add 1 load of clothes,Let washer run,"When finished, remove clothes from washer",Add washed clothes to dryer,Add fabric softener sheet to dryer,Turn dryer on and let run until clothes are dry
2_71,Get detergent,Remove dirty clothes from hamper,Sort clothes into different loads,Place clothes into laundry basket,Carry basket to washing machine,Turn washing machine on to the proper setting,Add detergent to washing machine,Place clothes in washing machine,Wait for washing machine to finish cycle,Remove washed clothes from washing machine
2_72,Open washing machine.,Put dirty laundry inside.,Measure out soap.,Put soap into washing machine.,Close washing machine.,Turn on washing machine and wait for it to end.,Open washing machine.,Open dryer.,Take out washed clothes and put into dryer.,Close dryer.
2_73,Gather clothes from the floor,Place in basket,Take basket to washing machine,Set washing machine settings,Pour in Tide,Check pockets for valuables,Dump clothes in washing machine,Do other things while waiting,Take clothes out of washing machine,Throw clothes in dryer
2_74,Put laundry soap in washer.,Add dirty clothes.,Close lid and turn on.,Wait for clothes to get done.,Open washer.,Take clothes out.,Put clothes in dryer.,Turn on dryer.,Take clothes out of dryer.,Put clothes in a hamper.
2_75,Gather dirty clothes.,"Sepedrate into darks, whites.","Set washer load size, water temp., etc.",Open washer.,Pour detergent.,Place clothes in washer.,Close lid.,Turn on washer.,,
2_76,Get dirty laundry.,Take laundry to laundry room.,Separate colored clothes from white clothes.,Decided which load you will wash first.,Load clothes into washing machine.,Open laundry detergent.,Pour detergent into proper reciprocal.,Close the washing machine.,Pick settings to wash clothes on.,Start the washing machine.
2_77,take laundry from clothes hamper,Throw laundry into washing machine,Put detergent into washing machine,Set the setting to use for clothes,Turn on washing machine,Wait for washing machine to finish,Take clothes out of washer and into dryer,Put dryer sheet into dryer.,Turn on dryer.,Wait for dyer to finish.
2_78,Separate whites from colors,Check all of the pockets for items,Remove any items,Put clothes into the machine,Add detergent,Add fabric softener,Set the water temperate,Start the washer,Wait for the washer to finish,Move clothes to the dryer
2_79,Gather dirty laundry in a basket,Bring basket of dirty laundry to the laundry room,Sort darks and lights for loads of laundry,Star washing machine,Get laundry detergent,Measure out laundry detergent,Add dirty laundry to washing machine,Add detergent to washing machine,Rinse out detergent cup with washing machine's water,Close the lid on washing machine
2_80,Place my dirty clothes in a basket.,Seperate whites and colors.,Place in the washer machine.,Add soap.,Start machine.,,,,,
2_81,gather laundry,separate laundry into same color piles,put one pile into washing machine,place laundry soap into washing machine,close door,start machine,wait for machine to finish,move wet clothes to dryer,put in dryer sheet,close door
2_82,collect all dirty laundry,sort dirty laundry,put dirty clothes into washing machine,add laundry soap,choose spin cycle,wait for machine to finish,"move clothes to dryer, except clothes that can't go in the dryer",hang up clothes that need to line dry,add dryer sheets to the dryer,turn on dryer
2_83,Gather the dirty apparels in the basket.,Bring the basket to the laundry room.,Put the apparels into the washer.,Add detergent to the washer.,Start the washer.,Take the apparels out and put them into dryer.,Start the dryer.,Take the dry apparels and out of dryer and put them away.,,
2_84,pile up the clothes you want to wash,start the water, put the clothes inside the washer,pour the detergent and let it do its cycle,put the softener after first cycle,after the cycle is done put into dryer,,,,
2_85,Separate laundry by type.,Take batch of one type and bring to washer.,Load washer with laundry and detergent.,Decide between load size.,Start the wash cycle.,"Once dry, load the laundry into the dryer.",Start the dryer.,"Once laundry is done, remove.",Begin folding and hanging laundry as preferred.,
2_86,Collect all dirty clothes,Put them in the washing machine,Switch on the washing machine,Add Detergent,Select the mode of washing,Start washing,Wait for completion beep,Take out washed clothes,Hang the clothes for air drying,Iron the clothes when dried
2_87,TAKE CLOTHES,PUT THE CLOTH IN WASHING MACHINE,ADD SOME WASHING POWDER,START THE MACHINE,AFTER WASHING TAKE AND DRY THE CLOTHES,IRON THE CLOTHES,,,,
2_88,Put dirty clothes into the waster,turn dial so it fills with water,Add laundry detergent and fabric softener,Clothes washer,Once clothes are done in washer:,Open dryer,Put all wet clothes in,Add dryer sheet,Turn on dryer,Once done in dryer fold clothes and put away
2_89,Go to laundry room,Open door to washing machine,Put dirty clothes into washing machine,Put detergent into washing machine,Close door of washing machine,Select washing style and length of time to wash,Start machine,,,
2_90,Sort clothes to be washed,Load clothes into washing machine,Open detergent drawer,Pour correct amount of detergent into drawer,Add fabric softener to drawer,Close drawer,Use dials to select proper wash cycle,Turn on machine,Wait for machine to run cycle,Unload clothes into dryer
2_91,gather dirty clothes,select cycle and turn on washing machine,put in laundry detergent and fabric softner,load dirty clothes in machine,close lid,when wash cycle is done take clothes out of the washer and place into the dryer,put in dryer sheet,select dryer setting,close dryer door,press start
2_92,Open washer,Get laundry detergent,Measure detergent based on packaging guidelines,Pour detergent into washer,Set washer cycle knob to desired cycle,Put washer start button,Put clothes into washer,Close washer,"When washer finishes, open washer",Open dryer
2_93,Sort clothes,Get detergent,Get fabric softener,Get dryer sheets,Put clothes in washer,Pour detergent in washer,Start washer,"On rinse cycle, pour fabric softener in","When finished, put clothes in dryer",Put dryer sheet in dryer
2_94,Put detergent into washer.,Load washer.,Select cycle and water temperature.,Close lid.,Turn on washer.,"When clothes are clean, put clothes in dryer.",Select dryer cycle.,Remove clothes from dryer when dry.,Fold clothes.,Put clothes away.
2_95,Gather dirty clothes,Organize clothes into lights and darks,Put one group of clothes into the washer,Put in the laundry detergent,Pick the cycle type,Take clothes out of washer when done,Shake clothes,Put clothes in dryer,Select drying cycle,Take clothes out of dryer
2_96,Separate clothing by colors and whites,Place one load of laundry into washer,Add fabric softener to the dispenser,Add soap to the load of wash,Select water temperature for the wash and rinse,Select the wash cycle,Close the lid,Start the washing machine,,
2_97,Take your clothes to a laundromat,Separate the whites from the colors,Put one load into a washer,Deposit your detergent with the clothes,Put quarters in the washer to start it,Wait for your clothes to finish,Transfer to a dryer and deposit more money.,"When clothes are dry, you're done.",,
2_98,Gather dirty laundry,Separate laundry into different types,Place dirty laundry into washer,Add detergent,Add softener,Select wash temperature,Press start,Wait for laundry to wash,Remove laundry from washer,Place wet laundry in dryer
2_99,Sort your laundry by the type you want to wash it with.,"Usually, laundry is sorted by color.",Add your laundry to your washing machine.,Add laundry detergent.,Set the cycle you want and press start.,"When the laundry finishes washing, transfer it to the dryer.",Look for delicate items that can't go into the dryer and hang them.,Dry your clothes.,"When they are finished, fold them and put them away.",
2_100,seperate clothes into piles,open door,put clothes in washer,close door,add detergent ,choose settings,press start,,,
