,0,1,2,3,4
2_79,Change into comfortable clothing/ shoes,Get tennis racket and balls,Arrange for opponent,Go to tennis court,Determine which side each player will take
2_80,Make a date with a friend to play tennis,Get dressed in a tennis outfit,Put on tennis shoes,Get racket and balls,Get into car
2_81,Find someone to play tennis with,Dress appropriately,Get a tennis racket,Get tennis balls,Go to a tennis court
2_82,Get a playing partner (or 3 if you want to play doubles),Get out your tennis racket and tennis balls,Wear appropriate tennis shoes for the tennis court.,Go to tennis court.,"If there is no free court, sign up for the next available one."
2_83,Find an opponent to play against,Get a racquet for each of you,"Open a new can of balls, or test old balls to find three that bounce well",Find an available tennis court,Stand with racquets on opposite sides of net
2_84,Change into tennis outfit,Gather equipment such as tennis racquet and balls,Arrive at tennis court,Meet playing partner,have a great game
2_85,"Wear loose, comfortable clothes",Get a tennis racket and balls,Get a partner,Go to tennis court,Serve the ball into the small square opposite the side you're on
2_86,Get tennis shoes,Serve the ball,Wait for your opponent to hit the ball back,Get ready to hit the ball,Swing the racquet
2_87,Get dressed in athletic gear.,Gather equipment.,"Get a friend to play with. If no friend, get a ball machine.",Go to the park.,Grab racket and balls from the bag.
2_88,call friends to see who is available to play tennis,get dressed with tennis gear and bring water,go to a park to a tennis court with friend,set up the net,play tennis with a friend
2_89,Find a location with a tennis court,Prepare materials to play tennis,Get in car,Drive to tennis court,Exit the car
2_90,get tennis clothes,get tennis shoes,get tennis equipment,reserve a tennis court,put tennis clothes on
2_91,Get good shoes and take rackets to the nearest tennis court.,Practice and warm-up by self-serving and hitting balls yourself.,"Find or play against a prepared opponent, either for fun or score.","Serve the ball, and try to keep a volley and knock your opponent out.","Have fun and win if applicable, but remember that it's just a game."
2_92,"Pack tennis bag with racquet, towels, and tennis balls.",Wear proper shoes and socks.,Bring water and/or fluids.,Make sure your racquet is properly strung.,Warm up.
2_93,Buy a tennis racket and tennis balls,Invite someone to join you for tennis,Get dressed in athletic clothing and tennis shoes,Find/go to a tennis court with your friend,Serve the ball
2_94,find tennis partner,schedule a time to play tennis,grab tennis racket and ball,find tennis court,drive to tennis court
2_95,Get tennis racket,Get tennis balls,Ask person to play tennis,Walk onto tennis court,Hold a tennis ball
2_96,Bounce the ball three times on the ground.,Serve it overhand from the back right corner.,Get rebounds from the other player and hit them back.,Repeat until one person has won.,Shake hands to show sportsmanship.
2_97,Dress in a tennis outfit.,Drive to the tennis court.,Obtain a racquet and ball.,Serve the ball.,Rally the ball back and forth against your opponent.
2_98,Charge into tennis attire,Find playing partner,Serve ball to partner,Wait for partner to hit ball,Try and hit ball when it returns to my side
2_99,Dress up in athletic clothing.,Get tennis balls.,Meet a friend at the tennis court.,Stretch.,Take out your racket.
2_100,Call a friend or find someone to play with.,Get dressed to go play. ,Wear comfortable clothing and tennis shoes.,Get your racket and tennis balls.,Bring more than one tennis ball so you don't have to chase them every time.
