,0,1,2,3,4,5,,,, 
2_61,Meet driving instructor,Get into driver seat,Wait for instructor to get into passenger seat,Start car,Follow directions of instructor,"At the end of lesson, stop car",,,,
2_62,Arrive on time,Greet your instructor,Get into the car,Put your seat-belt on,Observe all safety rules,Follow your instructors instructions,,,,
2_63,Get driving permit,Wait for driving teacher,Get into car,Wait for instructions,Start driving,Listen to instructor,,,,
2_64,Find a licensed driver,Borrow a car,Sign necessary paperwork,Get into driver's seat,Put on seatbelt,Wait for instructions,,,,
2_65,Schedule driving lesson,Prepare for driving lesson,Get in car when driving instructor arrives,Listen to driving instructor and drive,Return home after lesson,,,,,
2_66,Get into driver's seat.,Fasten Seat belt.,Place key in ignition.,Follow instructions of instructor.,Drive safely.,Receive feedback.,,,,
2_67,Sit in the driver's seat,Adjust the seat and mirrors to suit,Wait for the instructor to occupy the passenger seat,Fasten seat belt and wait for instructor to fasten his or hers.,"When instructed, start the car",Follow instructions,,,,
2_68,Get in car,Start the car,Put the car in drive,Instructor gives directions,Put pressure on gas pedal,Instructor gives feedback,,,,
2_70,Enter your car,Visit drivng instructor,Follow his directions,Drive safely,Reach your destination,Drop off instructor,,,,
2_71,Sign up for lessons.,Go to lessons.,Get in the car.,Start the car.,Check the mirrors.,Listen to the instructor.,,,,
2_72,Study driving instructions,Buckle seatbelt,Start up the vehicle,Listen to driving instructor,Turn off the car,Unbuckle seatbelt,,,,
2_73,find a good instructor,get in the car,fasten the seat belt,start the car,follow the instructor's directions,be careful,,,,
2_74,Go to driving school,Wait for your turn to drive,Get in the car,Do everything the instructor says,Pay attention to the road,Drive the speed limit,,,,
2_75,Go to the place that gives driving instructions,Get into the car,Wait for the instructor to get into the car,Follow the instructors directions for driving,Practice whatever they have you practice,Pay for your lesson,,,,
2_76,Arriving at the school,Going inside,Signing up,Meeting my teacher,Getting in the car,Learning to drive,,,,
2_77,Get in drivers seat.,Put in key.,Turn key.,Wait for other person to get in passenger seat.,Make sure all seat belts are on.,Listen to passenger tell you what to do.,,,,
2_79,Go to car.,Get in driver's seat.,Buckle seatbelt.,Check to ensure you can see correctly in mirrors.,Check to ensure seat is the proper distance from the controls.,Start car.,,,,
2_80,Find a driving school,Call them and schedule an appointment,Get in the car with driver,Listen to everything he says,Don't get excited,Drive until you're done learning,,,,
2_81,Walk into company that I am taking lesson with,Talk to person at desk,Show identification,Start the driving lesson,Show instructor I know the basics of the car,Turn on and off lights,,,,
2_82,Open the car door,Sit in the driver's seat,Allow instructor to sit in the passenger seat,Begin driving the car,Take advice and directions from the instructor.,,,,,
2_83,find a location for the driving lesson,sign up for the lesson,get transportation to the lesson,check in with the instructor,get in car,follow instructors instructions,,,,
2_84,Do some research online to find a driving school.,Contact the driving school and make an appointment.,Bring the vehicle you are going to use for the lesson to the appropriate place.,Drive according to the teacher's instructions.,Return to the origin location and make your payment.,,,,,
2_86,Arrive at appointment with instructor,Get into passenger seat,Follow instructor's instructions for driving lesson,Drive carefully,Learn,Leave driving lesson,,,,
2_87,Go to driving school,Pay money to the school,Get in car with instructor,Take the driving lesson,Get out of the car,,,,,
2_88,Get a ride to the lesson,Enter the driving school,Say hello to the instructor,Enter the car,Drive correctly,Learn from the instructor,,,,
2_89,make an appointment with a driving lesson teacher,get into vehicle with the teacher,put on seat belt,start driving lesson for certain amount of time,pay the teacher for the lesson,exit the vehicle,,,,
2_90,Get in the car.,Put on your seatbelt.,Check your mirrors.,Adjust mirrors according to your need.,Adjust your seat according to your need.,Turn on the engine.,,,,
2_91,Find out and drive to your nearest DMV/driving school.,Go to the counter after waiting in line and ask about driving lessons.,"When your name is called, go back to the counter and follow-up.","When you are told to drive, go with your instructor and get in a car.","Listen to your instructor, and obey all traffic laws, driving laws, etc., in your area.","After done, see your results, and see where you can go from there.",,,,
2_92,Set a date with your instructor,Wait for the date to arrive,Put on comfortable shoes,Go to the location where you are learning to drive,Practice driving with your instructor,,,,,
2_93,hire a driving instructor,schedule a time for driving lesson,arrive at driving lesson,get in driving vehicle,listen to instructor,,,,,
2_94,Get in car,Be driven to drivers education class,go to driving instructor,walk to car with driving instructor,sit in driver's side seat,drive and learn from your driving instructor,,,,
2_95,Acquire a car,Sign up with a driving instructor,Go over basic driving laws,Go over car controls,Drive around with instructor in passenger seat,,,,,
2_96,Get in the car,Navigate the road,Keep eyes on road,Put seat belt on,Put foot on the pedal,Accelerate when appropriate,,,,
2_98,Meet your instructor at the car.,Enter the car.,Adjust your seat if needed.,Put your seat belt on.,Adjust mirrors if needed.,Start the car.,,,,
