,0,1,2,3,4,5,6,7,8,9,10,11
2_102,Pick up any items that aren't where they belong.,Wash the dishes and put them away.,Vacuum the carpet.,Sweep the floor.,Dust places that need dusting.,Wipe the counters with cleaner and a wash cloth.,,,,,,
2_103,Scrub the toilet and bathtub in the bathroom,Tidy up the bedroom by picking up your dirty clothes,Vacuum the carpet,Straighten the cushions on the couch,Wash dirty cups and dishes,Take out the trash,,,,,,
2_104,Assess where things need to go.,Separate everything into sections.,Put stuff into container and/or their proper storage areas.,Wipe down hard surfaces.,Restock toilet paper and paper towels.,Clean flooring.,Clean any visible glass.,Light a candle.,,,,
2_105,get or buy cleaning material from a store,put on gloves and mop the floor of the flat,pick up the trash and throw it away,vacuum the carpet,do laundry,clean the bathroom and the bathtub with commercial cleanser,put things in their proper place,,,,,
2_106,Acknowledge the mess.,Gather up items that are laying around.,Put items that are not trash where they need to be.,Grab trash bags and place trash inside.,Grab a broom to sweep the floor.,Grab the vacuum from the closet. Plug it in.,Vacuum the carpet.,Tidy up the shelves and coffee table.,Take out the trash.,Relax.,,
2_107,Put away random items in their correct spot,Vacuum or sweep and mop the floors,Clean the kitchen by sanitizing appliances and doing the dishes,Clean the bathroom by sanitizing counters and the tub,Dust surfaces in the living room and bedroom,,,,,,,
2_109,Pick up items from the floor.,Sort items that constitute laundry from other items,Start laundry,Sort items that constitute trash from other items,Throw away trash,Place other items back in their proper spots,"Dust, starting high up and working down",Wipe down heavily used items and surfaces with cleaning product and rag,Sweep,Vacuum,Mop,Switch laundry
2_110,Pick up stray items,Collect trash,Tidy furniture,Vacuum floor,Clean counters,Dust tables,Organize furniture,Dispose of trash,,,,
2_112,Obtain cleaning supplies.,Pick up all clothing and place it in the hamper.,Pick up all garbage into a trash bag.,Tidy up any other belongings and return them to their proper place.,Wipe any surfaces with cleaning cloths.,Vaccuum or sweep the floors.,Clean any dishes in the sink.,Scrub the toilet and shower.,Put cleaning supplies away.,,,
2_113,Pick up any trash.,Empty trash.,Sweep.,Vacuum.,Clean any surfaces such as stove and tables.,Wash dishes.,Change towels.,,,,,
2_114,Get out cleaning products,pick up items laying the floor,Straighten things up on shelves/dressers,Vacuum/sweep,Dust,clean windows,Do laundry,do dishes,clean counters,Put away products,,
2_116,Put dirty dishes in sink,Put dirty clothes in hamper,Put all mail and papers away,Make bed,Do dishes,Clean kitchen,Dust,Vacuum,Take trash out,Put load in washer,,
