,0,1,2,3,4,5,6
2_59,Turn bike on side,Open up tire repair kit,Patch up the hole,Put air into tire,Ride bike,,
2_60,Remove any foreign object from tire,Buy or get repair kit and pump,Apply adhesive,Apply patch,Let dry,Pump up tire,
2_61,Place the bicycle on the stand,Connect air pump to the flat tire,Inflate the tire,Check the tire for any leakages,Repair any leakages or punctures,,
2_62,Remove wheel,See what needs to be repaired,Gather appropriate tools/repair kit,Clean area to be patched,Spread glue,Place patch over damaged area,Inflate tire
2_63,Turn bicycle upside down,Take tire and inner tube off wheel,Replace inner tube,Put tire with inner tube back on wheel,Turn bicycle to upside,,
2_64,Get a patch kit,Remove the tire,Check for holes in the tire,Patch the holes,Wait for patch to dry,Refill the tire with air,Put the tire back on bike
2_65,Remove the wheel from the bicycle,Remove the bicycle tire and tube from the wheel,Repair or replace the tube,Install the repaired or new tube and the tire onto the wheel,Inflate the tube,Install the wheel onto the bicycle,
2_66,Check to see if there is a hole,"If there isn't a hole, get a pump",Take the cover off of the tire valve,Pump up the tire until it is at the desired pressure,Ride the bike to test it out,,
2_67,Obtain patch material and air pump,Remove item penetrating from tire puncture,Apply patch or plug,Inflate tire to appropriate level,Carefully test that patch is holding,,
2_68,Turn bike over.,Remove the tire with a flat.,Take outer part of tire off carefully.,Remove inner tubing.,Find a patch kit.,Attach patch to tube.,Allow to dry.
2_69,Get repair kit out.,Take off tire from bike.,Take the tube out of the tire.,Replace the tube.,Air up tire.,Put tire back on bike.,Put up repair kit.
2_70,get a patch kit,find the hole,patch the hole,refill the air,test the tire,be careful,
2_71,Access where the tire is leaking,Remove the bike tire,Replace the tube,Inflate the tire,Check the tire once more,enjoy.,
2_72,Fill the tire with air,Find the hole using soapy water to see bubbles,Mark the tire,Let the air out of the tire,Take off the wheel,Place a patch on the hole,Put the tire back on the wheel
2_75,"Get a wrench, tire lever and a new tube",Flip bike and remove wheel with wrench,Use lever to pull bike tire over the edge of the rim,Pull old tube out and fit in the new one,Use lever to put tire back in rim.,Inflate tire to optimal PSI,Put tire back on bike
2_76,Determine if tire is damaged,Get pump,Unscrew valve,Insert pump and fill tire,Listen to determine if any air is leaking,If no leak flat tire is repaired,If leaking obtain tire patch or new tire
2_77,Go to a store,Purchase a bicycle tire repair kit,Go home,Flip bike upside down,Locate hole in tire,Apply tire patch,Refill tire with air
2_78,Get tools for the job,Unscrew the bolts holding the tire in place,Remove the old tire,Remove the outside rubber from the inner balloon,Replace inner ballon,Place tire back on bicycle,Screw the tire to secure it in place.
2_79,Remove wheel from bike,Remove flat tire from rim,Take out inner tube,Pump up tube,Find the hole where air is leaking out,Use a patch kit to repair hole,Let glue dry
2_80,"Properly rest the bike, then unscrew the nuts on the tire.",Remove the tire and use a screwdriver to peel the rubber off.,Take out the inner-tube and find the nozzle to pump air in.,Get a pump and stick it in to the nozzle and adjust it so air moves through.,"Apply air, and when it feels full enough, re-place the tube in the rubber and on the bike.",,
2_81,Get the bike,Remove the flat tire,Get another tire,Replace the old tire with this one,Ride the bike,,
2_82,Pull off the road safely.,Look for visible punctures.,Remove tire using your tools.,Observe tube for punctures and/or tears.,Patch or replace the tube.,Re-install tube into tire and put it back on.,Check for proper inflation.
2_83,Check the air pressure in the tire.,Grab the bicycle pump.,Remove the inner tubing of the tire from the tire and the wheel if necessary.,Unscrew the cap on the tube.,Place the pump's opening on the tube.,Begin pumping.,Go slowly and check the tire's pressure as you pump.
2_84,get new bicycle tire and wrench,wrench out the flat tire from bicycle,wrench in the new bicycle tire,put wrench away,throw flat tire away or recycle it,,
2_85,Take the tire off,Go to a bicycle shop,Buy a new tire,Replace the tire,Ride your bicycle,,
2_86,Go to the store,Find a replacement bicycle tire,Buy the replacement bicycle tire,remove the flat tire from the bicycle,Install the new tire,,
2_87,Get air pump,Inspect tire,Locate puncture point,Stitch puncture point,Insert air pump into tire,Pump air into tire,Eject air pump from tire
2_88,remove tire,remove tube,find hole in tube,skuff the tube up,apply glue,apply the patch,let the patch dry
2_89,Obtain a bicycle pump and new tire tube.,Remove the flat tire from the bicycle.,Remove the rubber part of the tire from the wheel.,Inspect the rubber for damage. If it is heavily damaged obtain a new one.,Remove the inner tire tube.,Insert the new inner tire tube into the rubber of the tire.,Put the tire back on the wheel.
2_90,Obtain new tire tube.,"Put bike on bike stand, or flipped resting on seat / handlebars.",Remove bolts or quick release to get tire off the bike.,Life the edges of the tire and work off rim.,Remove old tire tube.,Replace with new tire tube.,Put tire back on rim.
2_91,Take the tire and check for leaks.,Pump the tire up to check for leaks.,If there are no leaks then you have to buy a new tube.,Take tire off.,Take out leaking tube.,Put new tube into tire.,Put tire back on rim.
2_92,Inspect tire to determine if popped or just low on air,"If just flat but not popped, find air compressor",Remove valve cap by unscrewing,Attach air compressor hose,Turn on compressor,Fill tire with air until feels full,Remove compressor hose
2_93,Pull over to side of the road,Have a bike pump handy,Grab spare tire,Make sure spare tire has enough air in it,Unbolt tire.,Remove flat tire,Fasten spare tire on.
2_94,Deflate old tire,Get hex wrench,Unscrew wheel off bike,Take off outer protective shell,Take off inner tube,Place in water to determine puncture,Spread glue on area
2_95,Release the brakes of the bike that holds the flat wheel,Remove the flat wheel from the bicycle,Check for damage of tire,Decide if the tire is flat because of natural deflation or a hole in the tube and tire,(If natural deflation) re-inflate tire with air pump,(if hole in tube and/or tire) Replace the tube if damaged,Repair tire (Patch) or replace tire depending on the damage of the tire.
2_96,Remove tire from bicycle,Take tire to bike shop,Give tire to shop owner to be fixed,Take tire home,Put fixed tire on bike,,
2_97,find the hole in the bicycle tire,get appropriate tools (e.g. wrench),disassemble the tire from the base,locate the hole and remove whatever punctured the flat,patch up the flat tire,"if not able to repair, purchase a new tire",fill up the tire with air
2_98,Retrieve Fix-a-Flat from garage,Take nipple cap off bike tire,Remove cap on Fix-a-Flat,Hook Fix-a-Flat to bicycle tire nipple,Inflate bicycle tire with Fix-a-Flat,Replace nipple cap on bicycle tire,Replace cap on Fix-a-Flat canister.
