,0,1,2,3,4,5,6,7,8
2_19,Get into my car,Drive to the grocery store,Enter the grocery store and grab a shopping cart,Go up and down the aisles,Get any non-expiring products first,"Next, go for items like fruit, vegetables, eggs, and bread","Finally, get any dairy items",Go to the front of the store to check out,"Wait in line for checkout, perhaps looking at a magazine while doing so"
2_20,Take inventory of items you will need,Make a list of things you are going to buy,Go to grocery store,Get a grocery cart,"Go through store picking items, and checking off of your list",Go up to check out line,Present any coupons you may have for items purchased,"Pay for your groceries with either cash, check, or debit or credit",Take groceries to your car and load them up
2_21,Make a list of things needed before leaving home.,Make a trip to the store.,"If several items are needed, grab a basket.",Check list and find items that you need.,"When you have completed getting items on your list, head toward the checkout lanes.",Wait in line for your turn.,Put your items on the counter or belt to be scanned and rang up.,"When all items are scanned, the cashier will give you a total.",Pay for your items.
2_22,Make a grocery list,Get dressed to go out,Get inside the car,Drive the car to the grocery,Take a shopping cart,Fill the shopping cart with grocery items,Pay for the grocery,,
2_23,Look at ads,Make list,Go to store,Put items in cart,Take to check out,Have cashier check you out,go home,unload groceries,
2_24,Drive to grocery store,Enter store,Grab a shopping cart,Walk down desired aisles,Put items in cart,Navigate to checkout,Put items on belt,Pay for items,
2_25,Look in the fridge,Make a list,Get in the car,Go to grocery shop,Buy everything on list,Pay for grocery,Go home,Fill the fridge,
2_26,Make a grocery list.,Start at the non cold side of the store.,"Get the boxed, bagged, jarred food from your list.","Get the cold, frozen and produce.",Pay and check out.,Put bags in car and go home.,,,
2_27,make a list,drive to grocery store,grab a cart,consult list and find products,put products in your cart,go to checkout,remove items from cart,pay cashier,pick up bags
2_28,Make a list of what you need.,Drive or walk to the store.,Get a basket if needed.,"Select the items on your list, trying to stay on the perimeter of the store.",Take your items to the checkout counter.,Let the cashier ring up your items.,Pay for your groceries.,"If necessary, bag your items.",Leave the store.
2_29,Enter grocery store,Get grocery cart,Walk through store and place items you want into cart,Take cart to cash register,Place items onto conveyor belt,Cashier rings up items,Cashier gives you total,Pay for items with cash or credit,Bagger places items into bags
2_30,Create list of things to buy,Get in car,Drive to nearest grocery store,Park car,enter grocery store,Grab a shopping cart,Find groceries,Go to cash register,Pay for items
2_31,Get in car and drive to grocery store.,Get out of car and go into grocery store.,Get a shopping cart from the front store.,Go down each aisle and put the groceries you would like to purchase in your cart.,"When you are finished picking out what you want to purchase, go to the check out line.",Put all of your groceries on the belt for the cashier to ring up and bag.,Pay for your groceries.,Take your groceries to your car and place them in the car.,Drive home.
2_32,review what you have at home and make a list of what you need,go to the store,take a shopping cart,"walk through the aisles of the store, add items to your cart",check your list at each aisle to ensure you haven't missed anything,take the full cart to the checkout lane,wait your turn,load items from the cart onto the checkout lane's belt,"as the cashier bags items, place them back into your cart"
2_33,Plan menu for week.,Make grocery list based off of menu.,Drive to store.,Bring reusable grocery bags.,"Push cart around store, getting items from list.",Pick up refridgerated and frozen items last.,Try not to purchase things not on list.,Bring items to cashier at front of store.,Pay for your items.
2_34,Get in my car,Turn the car on,Go to the store,Park,Go inside,Grab cart,Find groceries,Put them in the cart,Check out
2_35,Make a list.,Go to the store.,Gather items from shelves.,Pay for them at the register.,Take groceries home.,,,,
2_36,Get in car.,Drive to nearest grocery store.,Browse the store.,Put items I need in cart.,Line up to pay.,Pay for my groceries.,Drive home.,,
2_37,Enter store.,Get grocery cart.,Go down aisles and retrieve items.,Go to checkout line.,Pay for groceries.,,,,
2_38,Get in the car,Drive to the grocery store.,Walk in to the store.,Get a cart.,Go aisle by aisle putting the items I want in the cart.,Go up to the cashier.,Put items on belt.,Wait for the cashier to ring the order up.,Pay for the groceries.
2_39,Make a grocery list of items to buy,Get in car,Drive to store,Go into store and locate items to buy,Go to check out stand and pay for items,put bought items in car,Drive home,take grocery items into house,put groceries away
2_40,Get into car,Drive to grocery store,Find parking spot,Park car,Get list,Enter store,Find items on list,Proceed to checkout,Go back to car
2_41,Inventory your cupboards,Write a list of meals for the week,Make a list of what you need.,Go to the store,Get what you need from the aisles,Take your purchase to the front,Pay the cashier,bag the groceries,Go home
2_42,Make a grocery list,Go to the grocery store,Get a cart,Find items from list,Put items from list into cart,Take cart to checkout line,Wait in line,Place items on conveyer belt,Wait for total
2_43,Make a list.,Clip any relevant coupons.,Get dressed.,Get in the car.,Drive to store and park.,Get a shopping cart.,Go inside and pick up items.,Put them in the cart.,Go to the checkout and pay.
2_44,Get shopping cart,Go into grocery store,Find what aisles you need to go to,Find the food you need and put in cart,"After finding everything you need, go to cashier",Pay for grocery,Unload grocery into your car,,
2_45,Make grocery list,Get in car,Drive to grocery store,Park the car,Walk into store,Get a shopping cart,Add groceries from list to cart,Get in checkout line,Put groceries on conveyor belt
2_46,Make a list of groceries needed,Get in your car,Drive to store,Enter store,Get a cart,Proceed through the store picking up needed items,Go through a check out line,Pay for groceries,Push cart to your car
2_47,Get in car,Drive to grocery store of choice,Park car,Walk in store,Grab a grocery cart,Put food in cart,Go to check out line in front of store,,
2_48,make grocery list,get in car,drive to grocery store,get a cart,enter the store,walk through aisles,pick up everything from list and put into your cart,go to cashier,pay the cashier
2_49,look through recipes,make grocery list,drive to the grocery store,go into grocery store,grab a cart,get fruits and veggies on list,get meat that is on list,go through the rest of the store getting everything on list,see a nice cake put it in cart
2_50,make a list of needed items,check for coupons,get in car,drive to store,go in store,grab shopping cart,stroll through store and get needed items,pay for items at check out,take groceries to car
2_51,Drive to the grocery store,Park in the lot,Walk into the store,Get shopping cart,Gather grocery items,Get into check-out line,Pay for items,Carry bags to vehicle,
2_52,figure out what you need,drive to store,get shopping cart,enter store,put items in cart,bring items to cashier,pay for items,load items in car,drive home
2_53,Go to grocery store,Get shopping cart,Walk around aisles,Select items,Put items in cart,Wheel cart to checkout,Put items on belt,Bag items,Pay for items
2_54,Leave my house,Get in my car,Drive to the store,Get out of the car,Going to the grocery store,Grab a cart,Collect groceries,Check out,
2_55,Make list of grocery items you need.,Drive to store.,Park car.,Enter store.,Get cart.,Go through store and collect items on list.,Go to check.,Pay bill.,Put groceries in car.
2_56,Get a cart,Go in the door,Choose which items you want/need,Go to the checkout counter,Wait while the cashier rings up your items,Pay with credit card or cash,Leave the store with your items in bags,,
2_57,GET IN THE CAR,DRIVE TO THE STORE,"Once at the store, select the groceries you want",Go to checkout,Pay for groceries,Go home,,,
2_58,Make a shopping list,Drive to the grocery store,Enter the store,Find all of the items on the list,Check out with the cashier,Put groceries in bags,Go home,Put groceries away,
2_59,Get to the grocery store,Buy fruits and vegetables,Buy breads and meats etc,Pay the grocer,Carry your grocery back home,,,,
2_60,Make a grocery list,Go to the grocery store,Go down the aisle and put your items in the cart,Go through the checkout,Take the bags to your car,Go home,,,
2_61,create grocery list,collect re-usable grocery bags,drive to grocery store,go down each aisle collecting items on grocery list,go to check out lane,pay for groceries,put groceries in car,drive home,put groceries in pantry/fridge
2_62,Prepare a list of items to purchase.,Go to the grocery store.,Get a shopping cart.,Go up and down the aisles.,Take food from shelves and put it in the cart.,Cross the items off your list.,Go to the register.,Pay for your items.,Carry the groceries home.
2_63,Get in car.,Go to grocery store.,Enter store.,Get grocery cart.,Select items wanted and put into cart.,Get into check out line.,Put items on check out belt.,Pay for items.,Get receipt from cashier.
2_64,Make shopping list,Walk into store,Get shopping cart,Walk through aisles finding items on shopping list,Place selected items in shopping cart,Walk to checkout aisle,Pay for items,Take items out of store,
2_65,Make a list of food you need or want,Get in the car,Drive to the store,Park,Get a basket,Go into the store,Start at the front and work your way back,Make sure to cross items off your list as you go,Make sure to get frozen foods last
2_66,Make a list of items you wish to purchase,Gather any coupons you have for groceries,Go to the store,Get a shopping cart,Fill the shopping cart with items on your list,Go to check out counter,Place items on conveyor belt,Pay for your items,Bagger places items in bags
2_67,Create a shopping list,Go to the store,Enter the store,Grab a buggy from the entrance,Walk around the store with buggy,Grab items off your list and put into buggy,Go to checkout counter once you have all items on list,Transfer items from buggy to counter,Wait while cashier scans and bags items
2_68,Write a grocery list,Get in car,Go to grocery store,Get a carriage,Walk around grocery store,Pick up items on your list,Pick up items not on your list if necessary,Go to register,Put items on register belt
2_69,Go to the grocery store,Get a shopping cart,Pick out food,Go to the register,Put food on counter,Pay for food,Take bags,Leave the store,Put shopping cart back
2_70,Write a grocery list.,Get in the car.,Go to the store.,Shop for goods.,Checkout at the cashier.,,,,
2_71,Make list of everything you need,Drive to grocery store,Walk into store,Grab a cart,Walk up and down aisles grabbing items on list,wait in line to check out,have cashier scan items,pay for groceries,Put bags into cart
2_72,Make a grocery list.,Get in car.,Drive to grocery store.,Walk in store.,Get shopping cart.,Walk around store.,Put items in basket.,Walk to cashier.,Cashier scan items.
2_73,Make a list of things to buy at the grocery store.,Drive to the grocery store.,Get a shopping cart.,Select items and put them in your shopping cart.,Pay for items at a checkout register.,Place items in bags.,Carry items from grocery store to your car.,Return to home with your groceries.,
2_74,make a list of what you need.,find a way to the grocery store,look for the items on the list,pay for the items,get back home and store them in the fridge,,,,
2_75,Get the reusable shopping bag,Drive to grocery shop,Collect a trolley,Enter the shop,Select the items and put in the trolley,Come to the bill counter,Pay the bill,Take the trolley to the car parking,Keep the items in trolley to your car
2_76,Make a list of needed items,Go to grocery store,Enter grocery store,Get a cart,Find item on the list,Place item in cart,Repeat for each item on list,Get in check out line,Place items on conveyor belt
2_77,make a grocery list,go to the supermarket,pick up items from aisles,pile them into shopping trolley/bag,go to the billing counter,pay for the shopping,take the grocery home,,
2_80,Make shopping list,Get money or form of payment,Get coupons (if applicable),Go to store,Get cart,Go to each department/aisle and get items on list,(Optional: get other items as desired),Go to checkout lane,Put items on conveyor belt
2_81,Get grocery list,Travel to store,Find items on list,Take items to check out,Pay for items,Load items in car,Return home,Unload and put items away,
2_82,Make a list of groceries you need,Go to grocery store,Get a shopping cart,"Push cart through store, looking for items on your list","When you find an item on your list, put it in your cart","When all items are found, push cart to checkout",Take items out of your cart,Put items on conveyor belt,Cashier rings up and bags all your items
2_83,Go to grocery store,Pull out a shopping cart,Look at the grocery store specials,Visit aisles and select groceries,"When finished, go to checkout registers",Get in a check out line,"When there is space, put a divider on the conveyer belt",Take your groceries out of cart and on to conveyer belt,Wait for cashier to ring up items and bag them
2_84,Make list,Put shoes on,Get into car,Go to store,Park,Get cart or basket,Find items,Get in line,Buy items
2_85,Make a grocery list,Take recyclable bags,Drive to grocery story,Enter grocery store,Browse aisles,Select food items,Select drink items,Check sale prices,Enter checkout lane
2_86,Make a grocery list,Drive to a grocery store,Park car,Walk into grocery store,Get a shopping cart,Gather the items on the grocery list,Get into a checkout line,Pay for groceries,Put groceries in car
2_87,Identify grocery items needed,Make a list of the items,Look at the internet for coupons for the items,Drive to the grocery store,Select a shopping cart,Tour the store selecting the items on the list,Proceed to check-out,Present coupons and payment to the checker,Wait for checking process
2_88,Arrive in parking lot,Get out of car,Enter store,Take out shopping list,Find items on list,Place item in basket,Go to checkout,Wait in line,Give cashier coupons
2_89,Check refrigerator and pantry for food deficiencies,Assemble grocery list,Drive to grocery store,Take a cart (not a squeaky one),Begin choosing groceries,Continue to choose groceries,Finish choosing groceries,Enter check out line or self-checkout,Pay for purchases
2_91,make a list of things that you need to buy,figure out which store you need to go to,walk to the store,find the items that you need in the store,bring them to the checkout and pay,,,,
2_93,Make a grocery list,Drive to grocery store,Buy items needed on list,Take items to checkout,Pay for groceries,Put groceries in bags,Leave store,,
2_94,Check for deals,Make a meal plan,Make a grocery list,Go to grocery store,Get a cart or basket,Put items on the list into the cart/basket,Bring to the counter,Pay for the groceries,Bag the groceries.
2_95,Make a shopping list,Go to the grocery store,Get a basket,Browse the store,Purchase what you need,,,,
2_96,Have a list ready,Travel to the grocery store,Grab a cart,"Go through the store, picking up items on the list",Try to resist temptation,"After you have everything, wait in line to check out",Check out and pay,Take your groceries to your car,Leave with your groceries
2_97,Make a shopping list,Drive to supermarket,Go inside,Find everything on your list,Put items in the shopping cart,Go to the checkout line,Get the items rang up,Pay for the items,Take the items home
2_98,Drive to store,Park,Get a cart,Go inside,Get groceries,Wait in line,Pay,Load cart,Go to car
