,0,1,2,3,4
2_79,Take items to the counter,Swipe the card,Sign the receipt,Take bagged items,Take copy of the receipt
2_80,Present your card to make payment,Swipe your card through the card machine,Enter your PIN,Confirm the payment,Sign your receipt
2_81,Walk to checkout,Put items on counter,Cashier rings up and bags items,Look at your total on the card machine,Confirm it is the correct total
2_82,Ring up items,Wait for total amount,Pull credit card from wallet,Run credit card through scanner,Wait for approval
2_83,Take credit card from wallet,Swipe the card in the card reader,"When prompted, sign on card reader screen using finger as pen",Remove paper receipt from printer,Examine receipt for accuracy
2_84,Select 'pay with credit' option,Take credit card out of wallet,Swipe credit card,Sign your signature,Put credit card back in wallet
2_85,Get card out wallet,Swipe card on machine,Put password in,Answer questions,Get receipt
2_86,Take items to register,Cashier rings up items,Give credit card to cashier,Cashier swipes card,Cashier gives back card and receipt
2_87,Take out the credit card,Swipe the card,wait for the clerk to do things,hit the ok button or sign,take receipt
2_88,find item you would like to purchase,take item to the cash register,wait for cashier to ring up item,swipe credit card through machine,approve the total
2_89,Find a service or product needed.,Swipe card at register.,Type in your pin number.,Press enter.,Sign when prompted.
2_90,check credit card balance,find something to buy,take item to register,hand cashier card,sign for purchase
2_91,Drive to store,Select goods and merchandise,Take your purchases to check-out,Have your purchases bagged,Pay with credit card
2_92,Enter point of sale area,Receive total for items,Select the card to pay with,Swipe or hand card over as required,Sign for charges when prompted
2_93,Pull out your credit card,Hand it to the cashier,Wait for the clerk to swipe it,Sign the slip of paper,Get the card back from the cashier
2_94,Take items to checkout counter,Have the worker ring them up,Get the total price,Get your credit card out of your wallet,Swipe the credit card through the card reader
2_95,Pick the product you wish to buy,Approach the cashier,Take out your wallet,Slide your credit card,Collect Receipt
2_96,Go to check out,Wait in line,Watch cashier ring up stuff,Scan card on credit thingy,Get receipt
2_97,Bring item up to buy,Give item to cashier,Wait for the cashier to say the total,Get credit card out of purse/wallet,give it to the cashier
