,0,1,2,3,4
2_50,Go to the spa,Check in with receptionist,go to the locker room,Change into whatever you're comfortable wearing in sauna,walk into sauna
2_51,Gather clean clothes to wear after the sauna and something to wear in the sauna.,Go to the sauna.,Sit in the sauna and relax.,"Do not stay in the sauna for too long, lest you become sick from it.","After you are finished relaxing in the sauna, take a shower."
2_52,drive to a gym or where there is a sauna,be hydrated with water,undress to comfort level,step into sauna,enjoy and relax
2_53,Enter the spa,Check in at register,Change in locker room,Find sauna room,Go into sauna and find a seat
2_54,Open the garage,Get inside the car,Start the car,Drive to Sauna Center,Register with receptionist
2_55,Pick the temperature for your sauna,Get undressed,Wrap yourself in towel,Take a towel with you into the sauna,Take a glass of water with you
2_56,Enter locker room.,Turn on sauna if not already on.,Remove clothing.,Put up hair.,Open sauna door.
2_57,Drive to the sauna,Check in at sauna,Undress,Sit in sauna,Relax
2_59,Go the the gym dressing room.,Undress,Place clothing in locker,Wrap lower torso in towel,Walk to the sauna
2_60,Pack a towel,Pack a change of clothes,Drive to sauna,Check in at front desk,Go to locker room
2_61,Put on a bathing suit,Put on a cover up,Arrive at sauna,Go to locker room,Take off cover up
2_62,Getting into the car,driving to the place with the sauna,walking into the locker room,getting naked,entering sauna
2_63,Drive to gym with sauna,Get changed in changing area,Wear either bathing suit or towel tied tight around body,Go into sauna and close door,Sit down
2_65,Drive to the gym,Sign up for membership if necessary,Enter locker room,Disrobe,Keep towel or underwear on if preferred
2_66,Go to the gym,Enter the gym,Grab towels from the reception desk,Go to the sauna,Enter the sauna
2_67,Go into a locker room,Take off clothes,Wrap a towel around yourself,Go into sauna,Sit and breathe
2_68,Put towel and a change of clothes in a bag.,Find a spa that has a sauna.,Pay for membership.,Go into changing area and change into swimming suit.,Take towel with you.
2_69,find a clean sauna,bring a towel,bring a bottle of water,sit in the sauna,drink plenty of water
2_70,Go to the gym,Change out of your clothes and put on a towel,Sit in the sauna,Get out of the sauna when you are ready,Take a shower
2_71,"Get together a bag with clothes, towel, shower items, shoes for the sauna",Travel to the sauna,Check in at the front desk.,Get a key for one of the lockers,Change your clothes
2_72,Get on swimsuit,Grab towel,Go into sauna,Sit and sweat,Go home
2_73,Strip clothes off,Wrap towel around self,Open sauna door,Walk into sauna,Close sauna door
2_74,Make an appointment,Drive to the spa/sauna,Go into the changing room,Change into bathing suit,Enter sauna for approximately 30 minutes
2_75,Get a towel,Put on appropriate clothing,Arrive at sauna,Go to sauna room,Make sure room is properly heated
2_76,Remove clothes in changing room (naked or to underwear/swimwear).,Get towel(s).,Go to sauna.,"Add water to hot rocks, if desired.",Sit on benches.
2_77,Enter the locker room,Change clothes,Place towel or robe on,Enter sauna room,Sit and relax for desired amount of time
2_78,decide when sauna to visit,drive to sauna,enter sauna,check in at desk,wait to be called to enter
2_79,Grab a towel,Take off your clothes,Put on a bathing suit,Enter the sauna,Adjust the heat level by pouring water onto the heating element
2_80,Arrive at sauna.,Change out of clothes,Put on towel.,Go into sauna.,remove towel
2_81,Get out of normal clothes,Wear bathing suit or towel,Wear slippers,Enter sauna,Sit down
2_82,pack sauna wear,take transportation to the sauna location,change into sauna wear at the sauna location,go into sauna,sit in sauna room for fixed amount of time
2_83,Bring a towel.,Bring shorts.,Turn the sauna on to desired temperature.,Sit patiently and relax.,Hydrate properly afterwards.
2_84,Be well hydrated,Have a shower and leave the house,Arrive at the gym or spa,"Go to the locker room and change into water resistant clothing, or a towel",Enter the sauna and relax
2_85,Put on bathing suit,grab towel,open door of sauna,turn on heat,add water to heat to make steam
2_86,Get in car,Drive to gym,Sign in,Walk to locker room,Place belongings in locker
2_87,Drive to the sauna.,Undress.,Step into sauna.,Relax in the steam.,Shower.
2_88,Decide which sauna you would like to go to.,Get in the car and drive to the sauna.,Enter into the building.,Go to the locker room and change into the clothing you will wear into the sauna.,Enter the sauna and sit down.
2_89,Find a local sauna or spa/sauna place.,Maybe grab a friend/etc. and drive there.,"Order the package you want, whether it be deluxe, regular, etc.","Wait until your turn(s), and then enter the relaxing, steamy facility.","Additionally, if it's a combo spa/sauna, you can get massages too."
2_90,Pack up personal hygiene products,pack towel,drive to sauna,go into changing room,get undressed
2_91,Pack gym bag with towel and supplies,Drive to sauna,Go to locker room,Change into bathing suit,Put hair up in pony tail
2_92,Drive to the local gym that has a sauna.,Take off your clothes in the locker room.,Put clothes in locker.,Lock locker.,Walk into sauna wearing a towel.
2_93,View what time the sauna closes,Begin taking off clothes,Wear your swim trunks,Wear sandals,Bring a towel
2_94,put on clothes,call ahead and make sure there is an opening for a walk in,get in the car and drive to the sauna,check in at reception,go to the locker room and get changed
2_95,Take a shower,Get dressed in sweats,Drive to sauna,Show identification to desk person,Strip in locker room
2_96,Call sauna to see if they are open,Get wallet and car keys,Drive to sauna,Talk to worker to get access to sauna,Take off clothes and put towels on
2_97,Drink water,Put on a swimsuit or robe,Get into sauna,Set the timer on the sauna,Relax
2_98,Arrive at sauna of your choice,Check in at the front desk,Change into bathing clothes or undress entirely,Store possessions and street clothes in locker,Enter steam room
