,0,1,2,3,4
2_53,Leave home,Walk into pool area,Close gate behind you,Put towel and other belongings on a chair,Go swimming
2_54,GO TO THE SWIMMING POOL,PAY WHEN YOU GET THERE,GET CHANGED INTO SWIMMING COSTUME,GO TO THE POOL,CLIMB INTO THE POOL
2_55,choose swimming pool,put on bathing suit,"collect towel and other swimming necessities (ie: goggles, ear plugs)",drive to swimming pool,pay entrance fee
2_56,Put on swimwear.,Arrive to swimming pool.,Enter swimming pool using ladder.,Swim in pool.,Leave swimming pool.
2_57,Put on swimming trunks,Get towel,Walk into the pool area,Get in water and swim,Get out of water
2_58,Put your swimsuit on,"Get your sunglasses, hat, towel, toys, beach towel, etc",Apply sunblock,Get in car,Drive to pool
2_59,Pay at the front desk,Go to the locker room,Go to a stall,Change into your swimsuit,Leave the locker room
2_60,Put swimsuit on,Put clothes on over bathing suit,Get a towel,Get in car,Drive to swimming pool
2_61,Find my bathingsuit.,Find a towel.,Drive to the YMCA.,Change into my suit.,Go swimming.
2_62,Take all swimming accessories,Open the garage,Get inside the car,Drive to swimming pool,Park the car
2_63,Put bathing suit on.,Get a towel.,Put towel in a bag.,Get snacks.,Put snacks in bag.
2_64,Put on bathing suit,Grab a towel to take to pool,Put on sun screen,Pack extra sunscreen,Go to the pool
2_65,"Prepare a bag with swimsuit, towels, shampoo, etc.",Go to the swimming pool.,Change into swimsuit in the changing room.,Get into the pool.,Swim in the pool.
2_66,Grab a towel and bathing suit or swimming shorts.,Go to the swimming pool.,Pay to get into the pool if there is a charge.,Change into your swimming clothes.,Apply sun tan lotion to avoid getting a sunburn.
2_67,pack up for swimming occasion,wear sunscreen,arrive to swimming pool,make sure there is a life guard,jump into pool
2_68,Pack bathing suit,Pack sunscreen and towels,Go to swimming pool facility,Go to changing room,Disrobe
2_69,wear your swimming costume,drive to the swimming pool,change into the costume,take a shower,step out into the swimming pool
2_70,wear the swimming costume,drive to the pool,change into costume,take shower,step into the swimming pool
2_71,Find out nearest swimming pool,Find out times and prices,Get waterproof bag to hold everything,Take your swimming suit,Get a good sized towel
2_72,Arrive at swimming pool,Enter,Walk into the water,Get used to the temp,Swim!
2_73,Decide who will go to the pool,Decide which pool is the destination,"Gather swimsuits or swimming trunks, goggles, sunblock, towels and other items needed","Get into vehicle, walk, or take public transit to pool",Arrive at pool and enter
2_74,Get towels,Find swimsuits,Change into swimsuits,Go to backyard,Make sure pool is clean
2_75,Get to the swimming pool,Change into your swim suit,Take a shower,Enter the pool,Enjoy swimming
2_76,"At home, change into bathing suit",Put set of clothes on over bathing suit,Pack a towel,Go to swimming pool,Take clothes over bathing suit off
2_77,Take off street clothes.,Put on swim trunks.,Get a towel.,Walk out of the back door of your house.,Lay the towel on a chaise lounge.
2_78,Put on swim trunks,Put on sunscreen,Take a towel,Walk to pool,Open pool gate
2_79,Go to swimming pool.,Pay for swimming session.,Go to locker room.,Put on swimsuit.,Put clothes and valuables in locker.
2_80,Gather swimming paraphernalia,Get in car,Drive car to pool,Change into swimming gear,Put on sunscreen
2_82,Put on bathing suit,Put on sunscreen,Pack sunglasses and towel,Arrive at pool,Spread out towel on a chair
2_83,get swimming suit ready,pack suit and towel and toiletries in the bag,get in the car after locking up the house,drive to the pool,get out of the car and walk to the pool.
2_84,change into your swimsuit,put on sunscreen,gather up towels and pool necessities like snacks or toys,get into car,drive to public swimming pool
2_85,Pick a day it's sunny.,Find your bathing suit.,Get a clean towel.,Get sunscreen lotion.,Put everything into a bag.
2_87,Put on swim suit,Go to the pool,Apply sunscreen,Jump in the water,Have fun swimming around in the water
2_88,Drive to pool,Bring towel,Change into swimming costume,"Put on swimming gear (snorkel, goggles)",Step slowly into pool
2_89,Put on swim trunks,Get sunscreen on,Grab a towel,Go to pool,Start swimming
2_90,"Get your gear together, swimming suit, towel, shower stuff",Travel to the pool,Pay to use the pool,Get a locker,Take a shower
2_91,Put on swim trunks,Get in your car,Drive to the pool,Pay to swim,Get in the pool
2_92,Wear swimming dress,Wear defense glass for eye,Diving into swimming pool,Swimming different style,Get up from the swimming pool
2_93,Go into changing room,Remove clothes,Put on swimsuit,Rinse off in shower,Walk out of changing room
2_94,Find bathing suit,Put bathing suit on,Get a towel,Get sunscreen,Put sunscreen on
2_95,Pack swimsuit,Go to pool,Enter changing room,Change into swimsuit,Shower
2_96,Get ready,Go to swimming pool,Check in,Go to changing room,Put on swimming suit
2_97,Put on your swim suit,grab your towel and slippers,get in the car,drive to pool,go in and pay for a session
2_98,Drive to the swimming pool,Change into swimsuits,Select a place near the pool to place belongings and towels,Get into the water,Swim in the pool
2_99,drive to swimming pool,pay admission to pool,go to locker room and change clothes,put belongings in locker,close and lock locker
2_100,Grab a towel and some sunscreen.,Put on your bathing suit.,Travel to the pool.,Pay or show necessary identification to attendant so you can enter the pool area.,Choose a chair near the pool.
