,0,1,2,3,4,5,6,7,8,9
2_89,Remove the old button,Find button replacement,Get out thread,Get out needle,Thread the needle,Cut excess thread,Thread button onto clothing,,,
2_91,"Find matching button, or old button.",Prepare needle and thread.,Find placement for new button.,Sew button onto garment.,Cut thread,Tie ends.,Clean up.,,,
2_92,Select thread of correct color,Thread a needle,Get a thimble,Push needle through the button hole into the fabric,Return the needle through the fabric and through a different button hole,Use the thimble to push the needle if required,Repeat steps 4 through 6 about 30 times,Tie the end of the string so it will not unravel,,
2_93,Drive to fabric store,Purchase buttons,Purchase thread,Prepare garment for sewing,Thread needle,Measure button holes for accuracy,Place button on fabric,Push needle through first hole,"Cross over to perpendicular hole, push needle back through",Move needle down to hole opposite first hole
2_94,Take out sewing kit,Thread needle,Put thread through button,Put needle and thread through shirt,Pull tight,Pull through other end,Make a knot,Cut off the extra thread,,
2_95,Find a spare button that matches the other buttons,Find a needle and thread,Thread the needle,Sew the button through the button holes onto the shirt,Keep repeating the sewing to reinforce the strength,Cut the thread near the needle to finish,Put supplies away,Wear shirt when convenient,,
2_96,taking the right button out,threading a needle with thread,putting the button on the fabric,moving the needle in and out of the button holes,stitching the button on,,,,,
2_97,Get a needle and thread,Put an end of the thread through the eye of the needle,Use the needle to go through the button holes and the fabric,Do this several times until the button is secure,Tie the thread so the button will not come loose,Cut the thread,Put the needle and thread away,,,
2_98,Get thread.,Get needle.,Thread needle.,Sew button.,Put away thread.,Put away needle.,,,,
2_99,Find a matching button,Find matching thread,Get a needle,Cut a length of thread more than double what you will need,"Thread the needle, double it up and tie a knot at the end",Put the button in the correct spot.,Push the needle through one button hole and back out another hole,Continue until the button is securely on the clothing,Tie off the thread on the underside of the garment,
2_100,Find sewing kit,Get button,Get clothes,Put thread in needle,Put button in the right area,Sew on,,,,
