task_step,task_completion_percentage,previous_actions,choices,correct_choice,correct_action
1,0.16666666666666666,['Prepare soil.'],"['Cover hole with soil.', 'Dig the hole for the tree.']",Dig the hole for the tree.,1
2,0.3333333333333333,"['Prepare soil.', 'Dig the hole for the tree.']","['Stake the tree.', 'Place tree in hole.']",Place tree in hole.,1
3,0.5,"['Prepare soil.', 'Dig the hole for the tree.', 'Place tree in hole.']","['Stake the tree.', 'Cover hole with soil.']",Cover hole with soil.,1
4,0.6666666666666666,"['Prepare soil.', 'Dig the hole for the tree.', 'Place tree in hole.', 'Cover hole with soil.']","['Prepare soil.', 'Water it.']",Water it.,1
5,0.8333333333333334,"['Prepare soil.', 'Dig the hole for the tree.', 'Place tree in hole.', 'Cover hole with soil.', 'Water it.']","['Stake the tree.', 'Prepare soil.']",Stake the tree.,0
0,0.0,[],"['get seeds, seedling, or bush', 'dig hole']","get seeds, seedling, or bush",0
1,0.2,"['get seeds, seedling, or bush']","['dig hole', 'get seeds, seedling, or bush']",dig hole,0
2,0.4,"['get seeds, seedling, or bush', 'dig hole']","['plant seed, seedling, or bush', 'water the tree']","plant seed, seedling, or bush",0
3,0.6,"['get seeds, seedling, or bush', 'dig hole', 'plant seed, seedling, or bush']","['get seeds, seedling, or bush', 'fill hole with dirt around the tree']",fill hole with dirt around the tree,1
4,0.8,"['get seeds, seedling, or bush', 'dig hole', 'plant seed, seedling, or bush', 'fill hole with dirt around the tree']","['water the tree', 'dig hole']",water the tree,0
0,0.0,[],"['Dig a hole into the ground', 'Get shovel and tree sapling']",Get shovel and tree sapling,1
1,0.16666666666666666,['Get shovel and tree sapling'],"['Dig a hole into the ground', 'Dig a hole into the ground']",Dig a hole into the ground,1
2,0.3333333333333333,"['Get shovel and tree sapling', 'Dig a hole into the ground']","['Place tree sapling into hole', 'Water the tree generously']",Place tree sapling into hole,0
3,0.5,"['Get shovel and tree sapling', 'Dig a hole into the ground', 'Place tree sapling into hole']","['Put dirt back into hole', 'Get shovel and tree sapling']",Put dirt back into hole,0
4,0.6666666666666666,"['Get shovel and tree sapling', 'Dig a hole into the ground', 'Place tree sapling into hole', 'Put dirt back into hole']","['Get shovel and tree sapling', 'Press dirt firmly around root ball as hole is filled in']",Press dirt firmly around root ball as hole is filled in,1
5,0.8333333333333334,"['Get shovel and tree sapling', 'Dig a hole into the ground', 'Place tree sapling into hole', 'Put dirt back into hole', 'Press dirt firmly around root ball as hole is filled in']","['Dig a hole into the ground', 'Water the tree generously']",Water the tree generously,1
0,0.0,[],"['Buy a young tree.', 'Fill the hole back with dirt.']",Buy a young tree.,0
1,0.16666666666666666,['Buy a young tree.'],"['Dig a hole where you want to plant tree.', 'Take it home.']",Take it home.,1
2,0.3333333333333333,"['Buy a young tree.', 'Take it home.']","['Dig a hole where you want to plant tree.', 'Fill the hole back with dirt.']",Dig a hole where you want to plant tree.,0
3,0.5,"['Buy a young tree.', 'Take it home.', 'Dig a hole where you want to plant tree.']","['Watch tree grow.', 'Put the tree in the hole.']",Put the tree in the hole.,1
4,0.6666666666666666,"['Buy a young tree.', 'Take it home.', 'Dig a hole where you want to plant tree.', 'Put the tree in the hole.']","['Fill the hole back with dirt.', 'Buy a young tree.']",Fill the hole back with dirt.,0
5,0.8333333333333334,"['Buy a young tree.', 'Take it home.', 'Dig a hole where you want to plant tree.', 'Put the tree in the hole.', 'Fill the hole back with dirt.']","['Watch tree grow.', 'Dig a hole where you want to plant tree.']",Watch tree grow.,0
0,0.0,[],"['Dig a hole', 'Buy a tree sapling']",Buy a tree sapling,1
1,0.2,['Buy a tree sapling'],"['Place sapling in hole', 'Dig a hole']",Dig a hole,1
2,0.4,"['Buy a tree sapling', 'Dig a hole']","['Water the tree every day', 'Place sapling in hole']",Place sapling in hole,1
3,0.6,"['Buy a tree sapling', 'Dig a hole', 'Place sapling in hole']","['Fill hole with dirt', 'Buy a tree sapling']",Fill hole with dirt,0
4,0.8,"['Buy a tree sapling', 'Dig a hole', 'Place sapling in hole', 'Fill hole with dirt']","['Dig a hole', 'Water the tree every day']",Water the tree every day,1
0,0.0,[],"['Buy some seeds of desired tree', 'Buy some seeds of desired tree']",Buy some seeds of desired tree,0
1,0.16666666666666666,['Buy some seeds of desired tree'],"['Select a spot where to plant a tree preferably in good exposure to sunlight', 'Dig about 6 inches deep or as desired']",Select a spot where to plant a tree preferably in good exposure to sunlight,0
2,0.3333333333333333,"['Buy some seeds of desired tree', 'Select a spot where to plant a tree preferably in good exposure to sunlight']","['Secure the boundary of the circle with fence of rounded river stones', 'Take a shovel']",Take a shovel,1
3,0.5,"['Buy some seeds of desired tree', 'Select a spot where to plant a tree preferably in good exposure to sunlight', 'Take a shovel']","['Dig about 6 inches deep or as desired', 'Secure the boundary of the circle with fence of rounded river stones']",Dig about 6 inches deep or as desired,0
4,0.6666666666666666,"['Buy some seeds of desired tree', 'Select a spot where to plant a tree preferably in good exposure to sunlight', 'Take a shovel', 'Dig about 6 inches deep or as desired']","['Select a spot where to plant a tree preferably in good exposure to sunlight', 'Dig in a circle all around the spot']",Dig in a circle all around the spot,1
5,0.8333333333333334,"['Buy some seeds of desired tree', 'Select a spot where to plant a tree preferably in good exposure to sunlight', 'Take a shovel', 'Dig about 6 inches deep or as desired', 'Dig in a circle all around the spot']","['Select a spot where to plant a tree preferably in good exposure to sunlight', 'Secure the boundary of the circle with fence of rounded river stones']",Secure the boundary of the circle with fence of rounded river stones,1
0,0.0,[],"['Put on gloves and sunglasses', 'Get gloves']",Get gloves,1
1,0.16666666666666666,['Get gloves'],"['Get gloves', 'Get sunglasses']",Get sunglasses,1
2,0.3333333333333333,"['Get gloves', 'Get sunglasses']","['Put on hat', 'Walk outside']",Put on hat,0
3,0.5,"['Get gloves', 'Get sunglasses', 'Put on hat']","['Walk outside', 'Get garden supplies']",Get garden supplies,1
4,0.6666666666666666,"['Get gloves', 'Get sunglasses', 'Put on hat', 'Get garden supplies']","['Get sunglasses', 'Put on gloves and sunglasses']",Put on gloves and sunglasses,1
5,0.8333333333333334,"['Get gloves', 'Get sunglasses', 'Put on hat', 'Get garden supplies', 'Put on gloves and sunglasses']","['Walk outside', 'Put on hat']",Walk outside,0
0,0.0,[],"['Find a shovel.', 'Fill in any gaps in the hole with soil.']",Find a shovel.,0
1,0.16666666666666666,['Find a shovel.'],"['Dig a hole the same size as the container holding the tree.', 'Place the tree in the hole.']",Dig a hole the same size as the container holding the tree.,0
2,0.3333333333333333,"['Find a shovel.', 'Dig a hole the same size as the container holding the tree.']","['Take the tree out of the container.', 'Watch your tree grow over the years.']",Take the tree out of the container.,0
3,0.5,"['Find a shovel.', 'Dig a hole the same size as the container holding the tree.', 'Take the tree out of the container.']","['Place the tree in the hole.', 'Watch your tree grow over the years.']",Place the tree in the hole.,0
4,0.6666666666666666,"['Find a shovel.', 'Dig a hole the same size as the container holding the tree.', 'Take the tree out of the container.', 'Place the tree in the hole.']","['Find a shovel.', 'Fill in any gaps in the hole with soil.']",Fill in any gaps in the hole with soil.,1
5,0.8333333333333334,"['Find a shovel.', 'Dig a hole the same size as the container holding the tree.', 'Take the tree out of the container.', 'Place the tree in the hole.', 'Fill in any gaps in the hole with soil.']","['Dig a hole the same size as the container holding the tree.', 'Watch your tree grow over the years.']",Watch your tree grow over the years.,1
0,0.0,[],"['Water regularly.', 'Obtain seedling.']",Obtain seedling.,1
1,0.16666666666666666,['Obtain seedling.'],"['Choose spot for planting.', 'Cover roots with dirt.']",Choose spot for planting.,0
2,0.3333333333333333,"['Obtain seedling.', 'Choose spot for planting.']","['Water regularly.', 'Dig hole big enough for seedling.']",Dig hole big enough for seedling.,1
3,0.5,"['Obtain seedling.', 'Choose spot for planting.', 'Dig hole big enough for seedling.']","['Place seedling into hole.', 'Water regularly.']",Place seedling into hole.,0
4,0.6666666666666666,"['Obtain seedling.', 'Choose spot for planting.', 'Dig hole big enough for seedling.', 'Place seedling into hole.']","['Cover roots with dirt.', 'Obtain seedling.']",Cover roots with dirt.,0
5,0.8333333333333334,"['Obtain seedling.', 'Choose spot for planting.', 'Dig hole big enough for seedling.', 'Place seedling into hole.', 'Cover roots with dirt.']","['Choose spot for planting.', 'Water regularly.']",Water regularly.,1
0,0.0,[],"['Put on gloves', 'Get a sapling, shovel and garden gloves.']","Get a sapling, shovel and garden gloves.",1
1,0.16666666666666666,"['Get a sapling, shovel and garden gloves.']","['Get a sapling, shovel and garden gloves.', 'Put on gloves']",Put on gloves,1
2,0.3333333333333333,"['Get a sapling, shovel and garden gloves.', 'Put on gloves']","['take off gloves and put away with shovel', 'dig hole for tree']",dig hole for tree,1
3,0.5,"['Get a sapling, shovel and garden gloves.', 'Put on gloves', 'dig hole for tree']","['put sapling in hole', 'Get a sapling, shovel and garden gloves.']",put sapling in hole,0
4,0.6666666666666666,"['Get a sapling, shovel and garden gloves.', 'Put on gloves', 'dig hole for tree', 'put sapling in hole']","['Put on gloves', 'cover with dirt']",cover with dirt,1
5,0.8333333333333334,"['Get a sapling, shovel and garden gloves.', 'Put on gloves', 'dig hole for tree', 'put sapling in hole', 'cover with dirt']","['dig hole for tree', 'take off gloves and put away with shovel']",take off gloves and put away with shovel,1
0,0.0,[],"['Take tree seed outside.', 'Water.']",Take tree seed outside.,0
1,0.16666666666666666,['Take tree seed outside.'],"['Place seed in hole.', 'With small shovel dig hole.']",With small shovel dig hole.,1
2,0.3333333333333333,"['Take tree seed outside.', 'With small shovel dig hole.']","['Wait patiently.', 'Place seed in hole.']",Place seed in hole.,1
3,0.5,"['Take tree seed outside.', 'With small shovel dig hole.', 'Place seed in hole.']","['cover with soil.', 'Wait patiently.']",cover with soil.,0
4,0.6666666666666666,"['Take tree seed outside.', 'With small shovel dig hole.', 'Place seed in hole.', 'cover with soil.']","['With small shovel dig hole.', 'Water.']",Water.,1
5,0.8333333333333334,"['Take tree seed outside.', 'With small shovel dig hole.', 'Place seed in hole.', 'cover with soil.', 'Water.']","['Take tree seed outside.', 'Wait patiently.']",Wait patiently.,1
0,0.0,[],"['Select a correct place in my backyard', 'Buy a sapling from nursery']",Buy a sapling from nursery,1
1,0.16666666666666666,['Buy a sapling from nursery'],"['Ensure the hole is not too deep and not too narrow', 'Select a correct place in my backyard']",Select a correct place in my backyard,1
2,0.3333333333333333,"['Buy a sapling from nursery', 'Select a correct place in my backyard']","['Dig a hole according to the size of the sapling', 'Hold it with one hand firmly and refill the soil']",Dig a hole according to the size of the sapling,0
3,0.5,"['Buy a sapling from nursery', 'Select a correct place in my backyard', 'Dig a hole according to the size of the sapling']","['Buy a sapling from nursery', 'Ensure the hole is not too deep and not too narrow']",Ensure the hole is not too deep and not too narrow,1
4,0.6666666666666666,"['Buy a sapling from nursery', 'Select a correct place in my backyard', 'Dig a hole according to the size of the sapling', 'Ensure the hole is not too deep and not too narrow']","['Buy a sapling from nursery', 'Place the tree sapling into the hole']",Place the tree sapling into the hole,1
5,0.8333333333333334,"['Buy a sapling from nursery', 'Select a correct place in my backyard', 'Dig a hole according to the size of the sapling', 'Ensure the hole is not too deep and not too narrow', 'Place the tree sapling into the hole']","['Dig a hole according to the size of the sapling', 'Hold it with one hand firmly and refill the soil']",Hold it with one hand firmly and refill the soil,1
0,0.0,[],"['fill in with dirt', 'go buy a tree']",go buy a tree,1
1,0.2,['go buy a tree'],"['dig a hole twice as wide as the pot', 'dig a hole twice as wide as the pot']",dig a hole twice as wide as the pot,0
2,0.4,"['go buy a tree', 'dig a hole twice as wide as the pot']","['dig hole deep enough for the roots', 'water very well']",dig hole deep enough for the roots,0
3,0.6,"['go buy a tree', 'dig a hole twice as wide as the pot', 'dig hole deep enough for the roots']","['fill in with dirt', 'go buy a tree']",fill in with dirt,0
4,0.8,"['go buy a tree', 'dig a hole twice as wide as the pot', 'dig hole deep enough for the roots', 'fill in with dirt']","['dig a hole twice as wide as the pot', 'water very well']",water very well,1
0,0.0,[],"['Get a shovel', 'Get a tree']",Get a tree,1
1,0.16666666666666666,['Get a tree'],"['Get a shovel', 'Fill up the rest of the hole with dirt']",Get a shovel,0
2,0.3333333333333333,"['Get a tree', 'Get a shovel']","['Go to a field or a yard', 'Fill up the rest of the hole with dirt']",Go to a field or a yard,0
3,0.5,"['Get a tree', 'Get a shovel', 'Go to a field or a yard']","['Dig a hole deep enough to plant the tree roots', 'Get a tree']",Dig a hole deep enough to plant the tree roots,0
4,0.6666666666666666,"['Get a tree', 'Get a shovel', 'Go to a field or a yard', 'Dig a hole deep enough to plant the tree roots']","['Get a shovel', 'Put the tree in the hole']",Put the tree in the hole,1
5,0.8333333333333334,"['Get a tree', 'Get a shovel', 'Go to a field or a yard', 'Dig a hole deep enough to plant the tree roots', 'Put the tree in the hole']","['Get a tree', 'Fill up the rest of the hole with dirt']",Fill up the rest of the hole with dirt,1
0,0.0,[],"['Buy a small tree at a nursery', 'Cover tree roots with dirt']",Buy a small tree at a nursery,0
1,0.16666666666666666,['Buy a small tree at a nursery'],"['Get a shovel', 'Put tree into hole']",Get a shovel,0
2,0.3333333333333333,"['Buy a small tree at a nursery', 'Get a shovel']","['Dig a hole large enough to place the tree into', 'Cover tree roots with dirt']",Dig a hole large enough to place the tree into,0
3,0.5,"['Buy a small tree at a nursery', 'Get a shovel', 'Dig a hole large enough to place the tree into']","['Put tree into hole', 'Pack down the dirt around the tree']",Put tree into hole,0
4,0.6666666666666666,"['Buy a small tree at a nursery', 'Get a shovel', 'Dig a hole large enough to place the tree into', 'Put tree into hole']","['Cover tree roots with dirt', 'Buy a small tree at a nursery']",Cover tree roots with dirt,0
5,0.8333333333333334,"['Buy a small tree at a nursery', 'Get a shovel', 'Dig a hole large enough to place the tree into', 'Put tree into hole', 'Cover tree roots with dirt']","['Pack down the dirt around the tree', 'Buy a small tree at a nursery']",Pack down the dirt around the tree,0
0,0.0,[],"['Dig a very deep hole with a shovel.', 'Choose type of tree.']",Choose type of tree.,1
1,0.16666666666666666,['Choose type of tree.'],"['Purchase tree.', 'Purchase tree.']",Purchase tree.,1
2,0.3333333333333333,"['Choose type of tree.', 'Purchase tree.']","['Cover with dirt.', 'Pick location.']",Pick location.,1
3,0.5,"['Choose type of tree.', 'Purchase tree.', 'Pick location.']","['Cover with dirt.', 'Dig a very deep hole with a shovel.']",Dig a very deep hole with a shovel.,1
4,0.6666666666666666,"['Choose type of tree.', 'Purchase tree.', 'Pick location.', 'Dig a very deep hole with a shovel.']","['Place tree in hole.', 'Choose type of tree.']",Place tree in hole.,0
5,0.8333333333333334,"['Choose type of tree.', 'Purchase tree.', 'Pick location.', 'Dig a very deep hole with a shovel.', 'Place tree in hole.']","['Purchase tree.', 'Cover with dirt.']",Cover with dirt.,1
0,0.0,[],"['Place tree or seed in hole', 'Get baby tree to plant or seed']",Get baby tree to plant or seed,1
1,0.16666666666666666,['Get baby tree to plant or seed'],"['Place tree or seed in hole', 'Find spot to plant tree']",Find spot to plant tree,1
2,0.3333333333333333,"['Get baby tree to plant or seed', 'Find spot to plant tree']","['Dig a hole', 'Pat lightly']",Dig a hole,0
3,0.5,"['Get baby tree to plant or seed', 'Find spot to plant tree', 'Dig a hole']","['Get baby tree to plant or seed', 'Place tree or seed in hole']",Place tree or seed in hole,1
4,0.6666666666666666,"['Get baby tree to plant or seed', 'Find spot to plant tree', 'Dig a hole', 'Place tree or seed in hole']","['Put soil back in hole around tree', 'Find spot to plant tree']",Put soil back in hole around tree,0
5,0.8333333333333334,"['Get baby tree to plant or seed', 'Find spot to plant tree', 'Dig a hole', 'Place tree or seed in hole', 'Put soil back in hole around tree']","['Pat lightly', 'Dig a hole']",Pat lightly,0
0,0.0,[],"['Buy a tree', 'Water the tree']",Buy a tree,0
1,0.16666666666666666,['Buy a tree'],"['Make sure it is stable', 'Transport it home']",Transport it home,1
2,0.3333333333333333,"['Buy a tree', 'Transport it home']","['Water the tree', 'Make a hole']",Make a hole,1
3,0.5,"['Buy a tree', 'Transport it home', 'Make a hole']","['Buy a tree', 'Plant the tree']",Plant the tree,1
4,0.6666666666666666,"['Buy a tree', 'Transport it home', 'Make a hole', 'Plant the tree']","['Make sure it is stable', 'Buy a tree']",Make sure it is stable,0
5,0.8333333333333334,"['Buy a tree', 'Transport it home', 'Make a hole', 'Plant the tree', 'Make sure it is stable']","['Water the tree', 'Buy a tree']",Water the tree,0
0,0.0,[],"['Buy the tree', 'Dig a hole three times the save as the root ball']",Buy the tree,0
1,0.16666666666666666,['Buy the tree'],"['Place the tree at the top of the hole', 'Select a site to plant the tree']",Select a site to plant the tree,1
2,0.3333333333333333,"['Buy the tree', 'Select a site to plant the tree']","['Get a shovel', 'Place the tree at the top of the hole']",Get a shovel,0
3,0.5,"['Buy the tree', 'Select a site to plant the tree', 'Get a shovel']","['Dig a hole three times the save as the root ball', 'Fill in dirt around the tree gently']",Dig a hole three times the save as the root ball,0
4,0.6666666666666666,"['Buy the tree', 'Select a site to plant the tree', 'Get a shovel', 'Dig a hole three times the save as the root ball']","['Buy the tree', 'Place the tree at the top of the hole']",Place the tree at the top of the hole,1
5,0.8333333333333334,"['Buy the tree', 'Select a site to plant the tree', 'Get a shovel', 'Dig a hole three times the save as the root ball', 'Place the tree at the top of the hole']","['Get a shovel', 'Fill in dirt around the tree gently']",Fill in dirt around the tree gently,1
0,0.0,[],"['place tree in hole', 'choose tree and spot to plant']",choose tree and spot to plant,1
1,0.16666666666666666,['choose tree and spot to plant'],"['dig hole big enough for tree to grow', 'place tree in hole']",dig hole big enough for tree to grow,0
2,0.3333333333333333,"['choose tree and spot to plant', 'dig hole big enough for tree to grow']","['water the tree', 'place tree in hole']",place tree in hole,1
3,0.5,"['choose tree and spot to plant', 'dig hole big enough for tree to grow', 'place tree in hole']","['replace the dirt', 'choose tree and spot to plant']",replace the dirt,0
4,0.6666666666666666,"['choose tree and spot to plant', 'dig hole big enough for tree to grow', 'place tree in hole', 'replace the dirt']","['water the tree', 'choose tree and spot to plant']",water the tree,0
5,0.8333333333333334,"['choose tree and spot to plant', 'dig hole big enough for tree to grow', 'place tree in hole', 'replace the dirt', 'water the tree']","['wait for the tree to grow', 'place tree in hole']",wait for the tree to grow,0
0,0.0,[],"['Fill hole up with soil that you used to dig the hole.', 'Get tree seeds.']",Get tree seeds.,1
1,0.16666666666666666,['Get tree seeds.'],"['Wait and watch as it blossoms.', 'Dig a hole in the ground.']",Dig a hole in the ground.,1
2,0.3333333333333333,"['Get tree seeds.', 'Dig a hole in the ground.']","['Plant seed in ground.', 'Water it.']",Plant seed in ground.,0
3,0.5,"['Get tree seeds.', 'Dig a hole in the ground.', 'Plant seed in ground.']","['Fill hole up with soil that you used to dig the hole.', 'Wait and watch as it blossoms.']",Fill hole up with soil that you used to dig the hole.,0
4,0.6666666666666666,"['Get tree seeds.', 'Dig a hole in the ground.', 'Plant seed in ground.', 'Fill hole up with soil that you used to dig the hole.']","['Water it.', 'Get tree seeds.']",Water it.,0
5,0.8333333333333334,"['Get tree seeds.', 'Dig a hole in the ground.', 'Plant seed in ground.', 'Fill hole up with soil that you used to dig the hole.', 'Water it.']","['Plant seed in ground.', 'Wait and watch as it blossoms.']",Wait and watch as it blossoms.,1
0,0.0,[],"['Find place in ground with enough space for tree.', 'Fill hole with dirt and fertilizer.']",Find place in ground with enough space for tree.,0
1,0.2,['Find place in ground with enough space for tree.'],"['Fill hole with dirt and fertilizer.', 'Dig hole in the ground.']",Dig hole in the ground.,1
2,0.4,"['Find place in ground with enough space for tree.', 'Dig hole in the ground.']","['Put tree seedling into hole.', 'Water tree daily.']",Put tree seedling into hole.,0
3,0.6,"['Find place in ground with enough space for tree.', 'Dig hole in the ground.', 'Put tree seedling into hole.']","['Find place in ground with enough space for tree.', 'Fill hole with dirt and fertilizer.']",Fill hole with dirt and fertilizer.,1
4,0.8,"['Find place in ground with enough space for tree.', 'Dig hole in the ground.', 'Put tree seedling into hole.', 'Fill hole with dirt and fertilizer.']","['Water tree daily.', 'Find place in ground with enough space for tree.']",Water tree daily.,0
0,0.0,[],"['Put sapling in hole', 'Go to nursery']",Go to nursery,1
1,0.16666666666666666,['Go to nursery'],"['Buy tree sapling', 'Get a shovel']",Buy tree sapling,0
2,0.3333333333333333,"['Go to nursery', 'Buy tree sapling']","['Put sapling in hole', 'Take tree sapling to place you want to plant it']",Take tree sapling to place you want to plant it,1
3,0.5,"['Go to nursery', 'Buy tree sapling', 'Take tree sapling to place you want to plant it']","['Go to nursery', 'Get a shovel']",Get a shovel,1
4,0.6666666666666666,"['Go to nursery', 'Buy tree sapling', 'Take tree sapling to place you want to plant it', 'Get a shovel']","['Dig a hole', 'Buy tree sapling']",Dig a hole,0
5,0.8333333333333334,"['Go to nursery', 'Buy tree sapling', 'Take tree sapling to place you want to plant it', 'Get a shovel', 'Dig a hole']","['Buy tree sapling', 'Put sapling in hole']",Put sapling in hole,1
0,0.0,[],"['Grab shovel', 'Put tree into hole in ground']",Grab shovel,0
1,0.2,['Grab shovel'],"['Put tree into hole in ground', 'dig hole in ground']",dig hole in ground,1
2,0.4,"['Grab shovel', 'dig hole in ground']","['Put tree into hole in ground', 'Water tree']",Put tree into hole in ground,0
3,0.6,"['Grab shovel', 'dig hole in ground', 'Put tree into hole in ground']","['Add shoveled dirt back into hole', 'Grab shovel']",Add shoveled dirt back into hole,0
4,0.8,"['Grab shovel', 'dig hole in ground', 'Put tree into hole in ground', 'Add shoveled dirt back into hole']","['Grab shovel', 'Water tree']",Water tree,1
