task_step,task_completion_percentage,previous_actions,choices,correct_choice,correct_action
0,0.0,[],"['Take out old one old battery', 'set alarm']",Take out old one old battery,0
1,0.16666666666666666,['Take out old one old battery'],"['set date and time', ""replace with new battery'""]",replace with new battery',1
2,0.3333333333333333,"['Take out old one old battery', ""replace with new battery'""]","['set date and time', 'see if that provides enough charge for clock to run']",see if that provides enough charge for clock to run,1
3,0.5,"['Take out old one old battery', ""replace with new battery'"", 'see if that provides enough charge for clock to run']","['if not replace next battery and repeat process', 'set alarm']",if not replace next battery and repeat process,0
4,0.6666666666666666,"['Take out old one old battery', ""replace with new battery'"", 'see if that provides enough charge for clock to run', 'if not replace next battery and repeat process']","['set date and time', ""replace with new battery'""]",set date and time,0
5,0.8333333333333334,"['Take out old one old battery', ""replace with new battery'"", 'see if that provides enough charge for clock to run', 'if not replace next battery and repeat process', 'set date and time']","['set alarm', 'Take out old one old battery']",set alarm,0
0,0.0,[],"['Put the cover back on.', 'Remove the back from the alarm clock.']",Remove the back from the alarm clock.,1
1,0.2,['Remove the back from the alarm clock.'],"['Insert the new batteries.', 'Take out the old batteries.']",Take out the old batteries.,1
2,0.4,"['Remove the back from the alarm clock.', 'Take out the old batteries.']","['Put the cover back on.', 'View where the plus and minus are.']",View where the plus and minus are.,1
3,0.6,"['Remove the back from the alarm clock.', 'Take out the old batteries.', 'View where the plus and minus are.']","['Remove the back from the alarm clock.', 'Insert the new batteries.']",Insert the new batteries.,1
4,0.8,"['Remove the back from the alarm clock.', 'Take out the old batteries.', 'View where the plus and minus are.', 'Insert the new batteries.']","['Put the cover back on.', 'Take out the old batteries.']",Put the cover back on.,0
0,0.0,[],"['Take batteries off', 'Buy batteries']",Take batteries off,0
1,0.16666666666666666,['Take batteries off'],"['Buy batteries', 'Look at type of batteries']",Look at type of batteries,1
2,0.3333333333333333,"['Take batteries off', 'Look at type of batteries']","['Go to convenience store', 'Change batteries']",Go to convenience store,0
3,0.5,"['Take batteries off', 'Look at type of batteries', 'Go to convenience store']","['Buy batteries', 'Change batteries']",Buy batteries,0
4,0.6666666666666666,"['Take batteries off', 'Look at type of batteries', 'Go to convenience store', 'Buy batteries']","['Look at type of batteries', 'Return home']",Return home,1
5,0.8333333333333334,"['Take batteries off', 'Look at type of batteries', 'Go to convenience store', 'Buy batteries', 'Return home']","['Change batteries', 'Take batteries off']",Change batteries,0
0,0.0,[],"['look at alarm clock', 'locate where batteries are']",locate where batteries are,1
1,0.16666666666666666,['locate where batteries are'],"['replace back', 'remove back']",remove back,1
2,0.3333333333333333,"['locate where batteries are', 'remove back']","['look at alarm clock', 'take out old batteries']",take out old batteries,1
3,0.5,"['locate where batteries are', 'remove back', 'take out old batteries']","['locate where batteries are', 'put in fresh batteries']",put in fresh batteries,1
4,0.6666666666666666,"['locate where batteries are', 'remove back', 'take out old batteries', 'put in fresh batteries']","['locate where batteries are', 'replace back']",replace back,1
5,0.8333333333333334,"['locate where batteries are', 'remove back', 'take out old batteries', 'put in fresh batteries', 'replace back']","['locate where batteries are', 'look at alarm clock']",look at alarm clock,1
0,0.0,[],"['Turn alarm clock over.', 'Remove old batteries.']",Turn alarm clock over.,0
1,0.16666666666666666,['Turn alarm clock over.'],"['Take battery cover off of alarm clock.', 'Get replacement batteries.']",Take battery cover off of alarm clock.,0
2,0.3333333333333333,"['Turn alarm clock over.', 'Take battery cover off of alarm clock.']","['Put new batteries into alarm clock.', 'Remove old batteries.']",Remove old batteries.,1
3,0.5,"['Turn alarm clock over.', 'Take battery cover off of alarm clock.', 'Remove old batteries.']","['Get replacement batteries.', 'Replace battery cover on clock.']",Get replacement batteries.,0
4,0.6666666666666666,"['Turn alarm clock over.', 'Take battery cover off of alarm clock.', 'Remove old batteries.', 'Get replacement batteries.']","['Put new batteries into alarm clock.', 'Turn alarm clock over.']",Put new batteries into alarm clock.,0
5,0.8333333333333334,"['Turn alarm clock over.', 'Take battery cover off of alarm clock.', 'Remove old batteries.', 'Get replacement batteries.', 'Put new batteries into alarm clock.']","['Replace battery cover on clock.', 'Take battery cover off of alarm clock.']",Replace battery cover on clock.,0
0,0.0,[],"['Take old batteries out of alarm clock', 'Get new batteries']",Get new batteries,1
1,0.16666666666666666,['Get new batteries'],"['Set time on alarm clock', 'Take cover off of battery compartment']",Take cover off of battery compartment,1
2,0.3333333333333333,"['Get new batteries', 'Take cover off of battery compartment']","['Take old batteries out of alarm clock', 'Place cover back onto battery compartment']",Take old batteries out of alarm clock,0
3,0.5,"['Get new batteries', 'Take cover off of battery compartment', 'Take old batteries out of alarm clock']","['Place new batteries into alarm clock', 'Set time on alarm clock']",Place new batteries into alarm clock,0
4,0.6666666666666666,"['Get new batteries', 'Take cover off of battery compartment', 'Take old batteries out of alarm clock', 'Place new batteries into alarm clock']","['Place cover back onto battery compartment', 'Get new batteries']",Place cover back onto battery compartment,0
5,0.8333333333333334,"['Get new batteries', 'Take cover off of battery compartment', 'Take old batteries out of alarm clock', 'Place new batteries into alarm clock', 'Place cover back onto battery compartment']","['Set time on alarm clock', 'Take old batteries out of alarm clock']",Set time on alarm clock,0
0,0.0,[],"['Get new batteries', 'Get new batteries']",Get new batteries,1
1,0.16666666666666666,['Get new batteries'],"['Take the alarm clock', 'Remove the previous batteries']",Take the alarm clock,0
2,0.3333333333333333,"['Get new batteries', 'Take the alarm clock']","['Open the battery lid', 'Close the battery lid']",Open the battery lid,0
3,0.5,"['Get new batteries', 'Take the alarm clock', 'Open the battery lid']","['Remove the previous batteries', 'Close the battery lid']",Remove the previous batteries,0
4,0.6666666666666666,"['Get new batteries', 'Take the alarm clock', 'Open the battery lid', 'Remove the previous batteries']","['Take the alarm clock', 'Replace the new batteries']",Replace the new batteries,1
5,0.8333333333333334,"['Get new batteries', 'Take the alarm clock', 'Open the battery lid', 'Remove the previous batteries', 'Replace the new batteries']","['Close the battery lid', 'Get new batteries']",Close the battery lid,0
0,0.0,[],"['Open up alarm clock', 'Remove old batteries']",Open up alarm clock,0
1,0.2,['Open up alarm clock'],"['Turn on', 'Remove old batteries']",Remove old batteries,1
2,0.4,"['Open up alarm clock', 'Remove old batteries']","['Put new batteries in + and - in perspective areas', 'Turn on']",Put new batteries in + and - in perspective areas,0
3,0.6,"['Open up alarm clock', 'Remove old batteries', 'Put new batteries in + and - in perspective areas']","['Open up alarm clock', 'Put cover back on alarm clock']",Put cover back on alarm clock,1
4,0.8,"['Open up alarm clock', 'Remove old batteries', 'Put new batteries in + and - in perspective areas', 'Put cover back on alarm clock']","['Turn on', 'Open up alarm clock']",Turn on,0
0,0.0,[],"['Grab alarm clock', 'Find battery compartment on alarm clock']",Grab alarm clock,0
1,0.2,['Grab alarm clock'],"['Grab correct batteries for alarm clock', 'Grab alarm clock']",Grab correct batteries for alarm clock,0
2,0.4,"['Grab alarm clock', 'Grab correct batteries for alarm clock']","['Insert new batteries', 'Find battery compartment on alarm clock']",Find battery compartment on alarm clock,1
3,0.6,"['Grab alarm clock', 'Grab correct batteries for alarm clock', 'Find battery compartment on alarm clock']","['Remove old batteries', 'Grab alarm clock']",Remove old batteries,0
4,0.8,"['Grab alarm clock', 'Grab correct batteries for alarm clock', 'Find battery compartment on alarm clock', 'Remove old batteries']","['Insert new batteries', 'Grab alarm clock']",Insert new batteries,0
0,0.0,[],"['Take appropriate batteries to change the old battery in an alarm clock.', 'Close the cover and reset the clock to current timing.']",Take appropriate batteries to change the old battery in an alarm clock.,0
1,0.16666666666666666,['Take appropriate batteries to change the old battery in an alarm clock.'],"['Open the box where the batteries are fixed.', 'Stick a small sticker in side mentioning the date of changed for future use.']",Open the box where the batteries are fixed.,0
2,0.3333333333333333,"['Take appropriate batteries to change the old battery in an alarm clock.', 'Open the box where the batteries are fixed.']","['Stick a small sticker in side mentioning the date of changed for future use.', 'Take away old batteries and replace with new ones.']",Take away old batteries and replace with new ones.,1
3,0.5,"['Take appropriate batteries to change the old battery in an alarm clock.', 'Open the box where the batteries are fixed.', 'Take away old batteries and replace with new ones.']","['Take appropriate batteries to change the old battery in an alarm clock.', 'Close the cover and reset the clock to current timing.']",Close the cover and reset the clock to current timing.,1
4,0.6666666666666666,"['Take appropriate batteries to change the old battery in an alarm clock.', 'Open the box where the batteries are fixed.', 'Take away old batteries and replace with new ones.', 'Close the cover and reset the clock to current timing.']","['Stick a small sticker in side mentioning the date of changed for future use.', 'Open the box where the batteries are fixed.']",Stick a small sticker in side mentioning the date of changed for future use.,0
