task_step,task_completion_percentage,previous_actions,choices,correct_choice,correct_action
4,0.8,"['Book train tickets', 'Pack necessary luggage', 'Go to train station', 'Get on train']","['Depart when you arrive', 'Pack necessary luggage']",Depart when you arrive,0
0,0.0,[],"['Decide where to go on a train', 'Sit on the seat']",Decide where to go on a train,0
1,0.125,['Decide where to go on a train'],"['Purchase ticket for the destination station', 'Relax or read favorite magazine']",Purchase ticket for the destination station,0
2,0.25,"['Decide where to go on a train', 'Purchase ticket for the destination station']","['Sit on the seat', 'Go to the platform where the train is expected']",Go to the platform where the train is expected,1
3,0.375,"['Decide where to go on a train', 'Purchase ticket for the destination station', 'Go to the platform where the train is expected']","['When train arrives, ride up the train compartment as per ticket', 'Decide where to go on a train']","When train arrives, ride up the train compartment as per ticket",0
4,0.5,"['Decide where to go on a train', 'Purchase ticket for the destination station', 'Go to the platform where the train is expected', 'When train arrives, ride up the train compartment as per ticket']","['Sit on the seat', 'Look for the seat number as in ticket']",Look for the seat number as in ticket,1
5,0.625,"['Decide where to go on a train', 'Purchase ticket for the destination station', 'Go to the platform where the train is expected', 'When train arrives, ride up the train compartment as per ticket', 'Look for the seat number as in ticket']","['Keep bag under the seat', 'Go to the platform where the train is expected']",Keep bag under the seat,0
6,0.75,"['Decide where to go on a train', 'Purchase ticket for the destination station', 'Go to the platform where the train is expected', 'When train arrives, ride up the train compartment as per ticket', 'Look for the seat number as in ticket', 'Keep bag under the seat']","['When train arrives, ride up the train compartment as per ticket', 'Sit on the seat']",Sit on the seat,1
7,0.875,"['Decide where to go on a train', 'Purchase ticket for the destination station', 'Go to the platform where the train is expected', 'When train arrives, ride up the train compartment as per ticket', 'Look for the seat number as in ticket', 'Keep bag under the seat', 'Sit on the seat']","['Relax or read favorite magazine', 'Go to the platform where the train is expected']",Relax or read favorite magazine,0
0,0.0,[],"['Board train', 'Drive to train station']",Drive to train station,1
1,0.14285714285714285,['Drive to train station'],"['Park car', 'Get out of car']",Park car,0
2,0.2857142857142857,"['Drive to train station', 'Park car']","['Wait for train to arrive', 'Get out of car']",Get out of car,1
3,0.42857142857142855,"['Drive to train station', 'Park car', 'Get out of car']","['Board train', 'Walk to ticket counter']",Walk to ticket counter,1
4,0.5714285714285714,"['Drive to train station', 'Park car', 'Get out of car', 'Walk to ticket counter']","['Board train', 'Buy ticket']",Buy ticket,1
5,0.7142857142857143,"['Drive to train station', 'Park car', 'Get out of car', 'Walk to ticket counter', 'Buy ticket']","['Wait for train to arrive', 'Park car']",Wait for train to arrive,0
6,0.8571428571428571,"['Drive to train station', 'Park car', 'Get out of car', 'Walk to ticket counter', 'Buy ticket', 'Wait for train to arrive']","['Get out of car', 'Board train']",Board train,1
0,0.0,[],"['Get a ticket for the train', 'Get on train']",Get a ticket for the train,0
1,0.14285714285714285,['Get a ticket for the train'],"['Go to the train station', 'Wait till your stop']",Go to the train station,0
2,0.2857142857142857,"['Get a ticket for the train', 'Go to the train station']","['Wait for your train to pull up to station', 'Get off train at your stop']",Wait for your train to pull up to station,0
3,0.42857142857142855,"['Get a ticket for the train', 'Go to the train station', 'Wait for your train to pull up to station']","['Get off train at your stop', 'Get on train']",Get on train,1
4,0.5714285714285714,"['Get a ticket for the train', 'Go to the train station', 'Wait for your train to pull up to station', 'Get on train']","['Go to the train station', 'Show the ticket checker your ticket']",Show the ticket checker your ticket,1
5,0.7142857142857143,"['Get a ticket for the train', 'Go to the train station', 'Wait for your train to pull up to station', 'Get on train', 'Show the ticket checker your ticket']","['Wait till your stop', 'Wait for your train to pull up to station']",Wait till your stop,0
6,0.8571428571428571,"['Get a ticket for the train', 'Go to the train station', 'Wait for your train to pull up to station', 'Get on train', 'Show the ticket checker your ticket', 'Wait till your stop']","['Get off train at your stop', 'Get a ticket for the train']",Get off train at your stop,0
0,0.0,[],"['ride train', 'Purchase train ticket']",Purchase train ticket,1
1,0.125,['Purchase train ticket'],"['Look on schedule board for departure information', 'Go to the assigned track']",Look on schedule board for departure information,0
2,0.25,"['Purchase train ticket', 'Look on schedule board for departure information']","['find a seat', 'Go to the assigned track']",Go to the assigned track,1
3,0.375,"['Purchase train ticket', 'Look on schedule board for departure information', 'Go to the assigned track']","['Purchase train ticket', 'board train when it arrives']",board train when it arrives,1
4,0.5,"['Purchase train ticket', 'Look on schedule board for departure information', 'Go to the assigned track', 'board train when it arrives']","['Look on schedule board for departure information', 'show conductor ticket']",show conductor ticket,1
5,0.625,"['Purchase train ticket', 'Look on schedule board for departure information', 'Go to the assigned track', 'board train when it arrives', 'show conductor ticket']","['find a seat', 'Go to the assigned track']",find a seat,0
6,0.75,"['Purchase train ticket', 'Look on schedule board for departure information', 'Go to the assigned track', 'board train when it arrives', 'show conductor ticket', 'find a seat']","['ride train', 'Look on schedule board for departure information']",ride train,0
7,0.875,"['Purchase train ticket', 'Look on schedule board for departure information', 'Go to the assigned track', 'board train when it arrives', 'show conductor ticket', 'find a seat', 'ride train']","['show conductor ticket', 'when train reaches destination, exit train']","when train reaches destination, exit train",1
0,0.0,[],"['Pay for your ticket', 'Call and check departure time']",Call and check departure time,1
1,0.2,['Call and check departure time'],"['Pay for your ticket', 'Go to train station']",Go to train station,1
2,0.4,"['Call and check departure time', 'Go to train station']","['Pay for your ticket', 'enjoy the ride']",Pay for your ticket,0
3,0.6,"['Call and check departure time', 'Go to train station', 'Pay for your ticket']","['Call and check departure time', 'get on the train']",get on the train,1
4,0.8,"['Call and check departure time', 'Go to train station', 'Pay for your ticket', 'get on the train']","['enjoy the ride', 'Call and check departure time']",enjoy the ride,0
0,0.0,[],"['Purchase train ticket for destination', 'Board train and be seated']",Purchase train ticket for destination,0
1,0.2,['Purchase train ticket for destination'],"['Go to train station a few minutes before scheduled departure', 'Board train and be seated']",Go to train station a few minutes before scheduled departure,0
2,0.4,"['Purchase train ticket for destination', 'Go to train station a few minutes before scheduled departure']","['Find rail for your train', 'Board train and be seated']",Find rail for your train,0
3,0.6,"['Purchase train ticket for destination', 'Go to train station a few minutes before scheduled departure', 'Find rail for your train']","['Give ticket to attendant', 'Purchase train ticket for destination']",Give ticket to attendant,0
4,0.8,"['Purchase train ticket for destination', 'Go to train station a few minutes before scheduled departure', 'Find rail for your train', 'Give ticket to attendant']","['Purchase train ticket for destination', 'Board train and be seated']",Board train and be seated,1
0,0.0,[],"['Go to train station.', 'Find an empty seat.']",Go to train station.,0
1,0.14285714285714285,['Go to train station.'],"['When train arrives, board a car.', 'Buy ticket at ticket window.']",Buy ticket at ticket window.,1
2,0.2857142857142857,"['Go to train station.', 'Buy ticket at ticket window.']","['Wait for correct stop.', 'Go on platform.']",Go on platform.,1
3,0.42857142857142855,"['Go to train station.', 'Buy ticket at ticket window.', 'Go on platform.']","['Relax.', 'When train arrives, board a car.']","When train arrives, board a car.",1
4,0.5714285714285714,"['Go to train station.', 'Buy ticket at ticket window.', 'Go on platform.', 'When train arrives, board a car.']","['Find an empty seat.', 'Go to train station.']",Find an empty seat.,0
5,0.7142857142857143,"['Go to train station.', 'Buy ticket at ticket window.', 'Go on platform.', 'When train arrives, board a car.', 'Find an empty seat.']","['Buy ticket at ticket window.', 'Relax.']",Relax.,1
6,0.8571428571428571,"['Go to train station.', 'Buy ticket at ticket window.', 'Go on platform.', 'When train arrives, board a car.', 'Find an empty seat.', 'Relax.']","['Buy ticket at ticket window.', 'Wait for correct stop.']",Wait for correct stop.,1
0,0.0,[],"['Wait at station', 'Get on train']",Wait at station,0
1,0.14285714285714285,['Wait at station'],"['Train arrives', 'Retrieve ticket from machine']",Retrieve ticket from machine,1
2,0.2857142857142857,"['Wait at station', 'Retrieve ticket from machine']","['Get off at destination', 'Train arrives']",Train arrives,1
3,0.42857142857142855,"['Wait at station', 'Retrieve ticket from machine', 'Train arrives']","['Get on train', 'Ride train']",Get on train,0
4,0.5714285714285714,"['Wait at station', 'Retrieve ticket from machine', 'Train arrives', 'Get on train']","['Swipe ticket', 'Wait at station']",Swipe ticket,0
5,0.7142857142857143,"['Wait at station', 'Retrieve ticket from machine', 'Train arrives', 'Get on train', 'Swipe ticket']","['Ride train', 'Retrieve ticket from machine']",Ride train,0
6,0.8571428571428571,"['Wait at station', 'Retrieve ticket from machine', 'Train arrives', 'Get on train', 'Swipe ticket', 'Ride train']","['Get off at destination', 'Train arrives']",Get off at destination,0
0,0.0,[],"['Go to the railway station', 'Find a vacant window seat']",Go to the railway station,0
1,0.125,['Go to the railway station'],"['Upon arrival get into the compartment', 'Stand in queue in front of a ticket counter and wait']",Stand in queue in front of a ticket counter and wait,1
2,0.25,"['Go to the railway station', 'Stand in queue in front of a ticket counter and wait']","['Buy ticket to the travel destination', 'Enjoy the outside sceneries while on the move']",Buy ticket to the travel destination,0
3,0.375,"['Go to the railway station', 'Stand in queue in front of a ticket counter and wait', 'Buy ticket to the travel destination']","['De-train upon reaching the destination', 'Go to the platform where the train arrives']",Go to the platform where the train arrives,1
4,0.5,"['Go to the railway station', 'Stand in queue in front of a ticket counter and wait', 'Buy ticket to the travel destination', 'Go to the platform where the train arrives']","['Upon arrival get into the compartment', 'De-train upon reaching the destination']",Upon arrival get into the compartment,0
5,0.625,"['Go to the railway station', 'Stand in queue in front of a ticket counter and wait', 'Buy ticket to the travel destination', 'Go to the platform where the train arrives', 'Upon arrival get into the compartment']","['Buy ticket to the travel destination', 'Find a vacant window seat']",Find a vacant window seat,1
6,0.75,"['Go to the railway station', 'Stand in queue in front of a ticket counter and wait', 'Buy ticket to the travel destination', 'Go to the platform where the train arrives', 'Upon arrival get into the compartment', 'Find a vacant window seat']","['Go to the railway station', 'Enjoy the outside sceneries while on the move']",Enjoy the outside sceneries while on the move,1
7,0.875,"['Go to the railway station', 'Stand in queue in front of a ticket counter and wait', 'Buy ticket to the travel destination', 'Go to the platform where the train arrives', 'Upon arrival get into the compartment', 'Find a vacant window seat', 'Enjoy the outside sceneries while on the move']","['Go to the platform where the train arrives', 'De-train upon reaching the destination']",De-train upon reaching the destination,1
0,0.0,[],"['Purchase tickets from ticket window', 'Look up train information online']",Look up train information online,1
1,0.2,['Look up train information online'],"['Purchase tickets from ticket window', 'Go to the train station']",Purchase tickets from ticket window,0
2,0.4,"['Look up train information online', 'Purchase tickets from ticket window']","['Go to the train station', 'Board train']",Go to the train station,0
3,0.6,"['Look up train information online', 'Purchase tickets from ticket window', 'Go to the train station']","['Look up train information online', 'Show ticket pass']",Show ticket pass,1
4,0.8,"['Look up train information online', 'Purchase tickets from ticket window', 'Go to the train station', 'Show ticket pass']","['Board train', 'Purchase tickets from ticket window']",Board train,0
0,0.0,[],"['Drive to the train station.', 'Drive to the train station.']",Drive to the train station.,0
1,0.16666666666666666,['Drive to the train station.'],"['Buy a train ticket.', 'Drive to the train station.']",Buy a train ticket.,0
2,0.3333333333333333,"['Drive to the train station.', 'Buy a train ticket.']","['Walk onto the train.', 'Go to the correct train platform.']",Go to the correct train platform.,1
3,0.5,"['Drive to the train station.', 'Buy a train ticket.', 'Go to the correct train platform.']","['Wait for the train to arrive.', 'Drive to the train station.']",Wait for the train to arrive.,0
4,0.6666666666666666,"['Drive to the train station.', 'Buy a train ticket.', 'Go to the correct train platform.', 'Wait for the train to arrive.']","['Walk onto the train.', 'Drive to the train station.']",Walk onto the train.,0
5,0.8333333333333334,"['Drive to the train station.', 'Buy a train ticket.', 'Go to the correct train platform.', 'Wait for the train to arrive.', 'Walk onto the train.']","['Hand the attendant your ticket.', 'Drive to the train station.']",Hand the attendant your ticket.,0
0,0.0,[],"['Wait for train', 'Go to train station']",Go to train station,1
1,0.16666666666666666,['Go to train station'],"['Go to train station', 'Choose a destination']",Choose a destination,1
2,0.3333333333333333,"['Go to train station', 'Choose a destination']","['Arrive at destination', 'Buy ticket']",Buy ticket,1
3,0.5,"['Go to train station', 'Choose a destination', 'Buy ticket']","['Wait for train', 'Go to train station']",Wait for train,0
4,0.6666666666666666,"['Go to train station', 'Choose a destination', 'Buy ticket', 'Wait for train']","['Get in train', 'Choose a destination']",Get in train,0
5,0.8333333333333334,"['Go to train station', 'Choose a destination', 'Buy ticket', 'Wait for train', 'Get in train']","['Arrive at destination', 'Choose a destination']",Arrive at destination,0
0,0.0,[],"['Enter train station', 'Enter train station']",Enter train station,1
1,0.125,['Enter train station'],"['Buy train ticket', 'Find a seat']",Buy train ticket,0
2,0.25,"['Enter train station', 'Buy train ticket']","['Wait for train', 'Enter train']",Wait for train,0
3,0.375,"['Enter train station', 'Buy train ticket', 'Wait for train']","['Hand ticket to ticket taker', 'Train arrives']",Train arrives,1
4,0.5,"['Enter train station', 'Buy train ticket', 'Wait for train', 'Train arrives']","['Enter train', 'Buy train ticket']",Enter train,0
5,0.625,"['Enter train station', 'Buy train ticket', 'Wait for train', 'Train arrives', 'Enter train']","['Find a seat', 'Enjoy train ride']",Find a seat,0
6,0.75,"['Enter train station', 'Buy train ticket', 'Wait for train', 'Train arrives', 'Enter train', 'Find a seat']","['Hand ticket to ticket taker', 'Train arrives']",Hand ticket to ticket taker,0
7,0.875,"['Enter train station', 'Buy train ticket', 'Wait for train', 'Train arrives', 'Enter train', 'Find a seat', 'Hand ticket to ticket taker']","['Enter train', 'Enjoy train ride']",Enjoy train ride,1
0,0.0,[],"['decide the route you want take', 'wait for train at the platform']",decide the route you want take,0
1,0.125,['decide the route you want take'],"['go to station', 'give ticket to conductor']",go to station,0
2,0.25,"['decide the route you want take', 'go to station']","['find a seat', 'purchase tickets']",purchase tickets,1
3,0.375,"['decide the route you want take', 'go to station', 'purchase tickets']","['wait for train at the platform', 'give ticket to conductor']",wait for train at the platform,0
4,0.5,"['decide the route you want take', 'go to station', 'purchase tickets', 'wait for train at the platform']","['get on train', 'go to station']",get on train,0
5,0.625,"['decide the route you want take', 'go to station', 'purchase tickets', 'wait for train at the platform', 'get on train']","['purchase tickets', 'find a seat']",find a seat,1
6,0.75,"['decide the route you want take', 'go to station', 'purchase tickets', 'wait for train at the platform', 'get on train', 'find a seat']","['decide the route you want take', 'give ticket to conductor']",give ticket to conductor,1
7,0.875,"['decide the route you want take', 'go to station', 'purchase tickets', 'wait for train at the platform', 'get on train', 'find a seat', 'give ticket to conductor']","['decide the route you want take', 'enjoy the view']",enjoy the view,1
0,0.0,[],"['purchase a ticket', 'choose a seat']",purchase a ticket,0
1,0.14285714285714285,['purchase a ticket'],"['wait for the train at the platform', 'wait for the train at the platform']",wait for the train at the platform,1
2,0.2857142857142857,"['purchase a ticket', 'wait for the train at the platform']","['wait patiently while the train travels', 'when train arrives, board train']","when train arrives, board train",1
3,0.42857142857142855,"['purchase a ticket', 'wait for the train at the platform', 'when train arrives, board train']","['give ticket to steward when asked', 'wait patiently while the train travels']",give ticket to steward when asked,0
4,0.5714285714285714,"['purchase a ticket', 'wait for the train at the platform', 'when train arrives, board train', 'give ticket to steward when asked']","['wait for the train at the platform', 'choose a seat']",choose a seat,1
5,0.7142857142857143,"['purchase a ticket', 'wait for the train at the platform', 'when train arrives, board train', 'give ticket to steward when asked', 'choose a seat']","['wait patiently while the train travels', 'wait for the train at the platform']",wait patiently while the train travels,0
6,0.8571428571428571,"['purchase a ticket', 'wait for the train at the platform', 'when train arrives, board train', 'give ticket to steward when asked', 'choose a seat', 'wait patiently while the train travels']","['wait for the train at the platform', 'leave train']",leave train,1
0,0.0,[],"['Sit back and relax.', 'Drive to train station.']",Drive to train station.,1
1,0.16666666666666666,['Drive to train station.'],"['Purchase train tickets.', 'Sit back and relax.']",Purchase train tickets.,0
2,0.3333333333333333,"['Drive to train station.', 'Purchase train tickets.']","['Get off at your correct stop.', 'Wait for train to arrive.']",Wait for train to arrive.,1
3,0.5,"['Drive to train station.', 'Purchase train tickets.', 'Wait for train to arrive.']","['Board train and choose a seat.', 'Drive to train station.']",Board train and choose a seat.,0
4,0.6666666666666666,"['Drive to train station.', 'Purchase train tickets.', 'Wait for train to arrive.', 'Board train and choose a seat.']","['Sit back and relax.', 'Drive to train station.']",Sit back and relax.,0
5,0.8333333333333334,"['Drive to train station.', 'Purchase train tickets.', 'Wait for train to arrive.', 'Board train and choose a seat.', 'Sit back and relax.']","['Get off at your correct stop.', 'Drive to train station.']",Get off at your correct stop.,0
0,0.0,[],"['Purchase ticket', 'Get to station']",Get to station,1
1,0.125,['Get to station'],"['Enter into the railway station', 'Enter into the railway station']",Enter into the railway station,1
2,0.25,"['Get to station', 'Enter into the railway station']","['Wait in line', 'Leave to designated area']",Wait in line,0
3,0.375,"['Get to station', 'Enter into the railway station', 'Wait in line']","['Wait for train', 'Get to ticket booth']",Get to ticket booth,1
4,0.5,"['Get to station', 'Enter into the railway station', 'Wait in line', 'Get to ticket booth']","['Board train when it arrives', 'Purchase ticket']",Purchase ticket,1
5,0.625,"['Get to station', 'Enter into the railway station', 'Wait in line', 'Get to ticket booth', 'Purchase ticket']","['Get to station', 'Leave to designated area']",Leave to designated area,1
6,0.75,"['Get to station', 'Enter into the railway station', 'Wait in line', 'Get to ticket booth', 'Purchase ticket', 'Leave to designated area']","['Wait in line', 'Wait for train']",Wait for train,1
7,0.875,"['Get to station', 'Enter into the railway station', 'Wait in line', 'Get to ticket booth', 'Purchase ticket', 'Leave to designated area', 'Wait for train']","['Board train when it arrives', 'Enter into the railway station']",Board train when it arrives,0
0,0.0,[],"['Walk to the subway.', 'Get on train.']",Walk to the subway.,0
1,0.16666666666666666,['Walk to the subway.'],"['Pay for train ticket.', 'Get in line.']",Get in line.,1
2,0.3333333333333333,"['Walk to the subway.', 'Get in line.']","['Get on train.', 'Pay for train ticket.']",Pay for train ticket.,1
3,0.5,"['Walk to the subway.', 'Get in line.', 'Pay for train ticket.']","['Walk through roundabout.', 'Walk to the subway.']",Walk through roundabout.,0
4,0.6666666666666666,"['Walk to the subway.', 'Get in line.', 'Pay for train ticket.', 'Walk through roundabout.']","['Get in line.', 'Wait for train.']",Wait for train.,1
5,0.8333333333333334,"['Walk to the subway.', 'Get in line.', 'Pay for train ticket.', 'Walk through roundabout.', 'Wait for train.']","['Get on train.', 'Pay for train ticket.']",Get on train.,0
0,0.0,[],"['Get dressed.', 'Go to the car.']",Get dressed.,0
1,0.16666666666666666,['Get dressed.'],"['Board train', 'Go to the car.']",Go to the car.,1
2,0.3333333333333333,"['Get dressed.', 'Go to the car.']","['Board train', 'Drive to the train station']",Drive to the train station,1
3,0.5,"['Get dressed.', 'Go to the car.', 'Drive to the train station']","['Pay for the ticket', 'Get dressed.']",Pay for the ticket,0
4,0.6666666666666666,"['Get dressed.', 'Go to the car.', 'Drive to the train station', 'Pay for the ticket']","['Wait for the train', 'Get dressed.']",Wait for the train,0
5,0.8333333333333334,"['Get dressed.', 'Go to the car.', 'Drive to the train station', 'Pay for the ticket', 'Wait for the train']","['Board train', 'Drive to the train station']",Board train,0
0,0.0,[],"['Go to station', 'Go to station']",Go to station,0
1,0.125,['Go to station'],"['Ride and enjoy the countryside', 'Buy a ticket at the window']",Buy a ticket at the window,1
2,0.25,"['Go to station', 'Buy a ticket at the window']","['Give ticket to conductor', 'Wait on platform for train']",Wait on platform for train,1
3,0.375,"['Go to station', 'Buy a ticket at the window', 'Wait on platform for train']","['Give ticket to conductor', 'Get on train']",Get on train,1
4,0.5,"['Go to station', 'Buy a ticket at the window', 'Wait on platform for train', 'Get on train']","['Find a seat', 'Arrive']",Find a seat,0
5,0.625,"['Go to station', 'Buy a ticket at the window', 'Wait on platform for train', 'Get on train', 'Find a seat']","['Arrive', 'Give ticket to conductor']",Give ticket to conductor,1
6,0.75,"['Go to station', 'Buy a ticket at the window', 'Wait on platform for train', 'Get on train', 'Find a seat', 'Give ticket to conductor']","['Go to station', 'Ride and enjoy the countryside']",Ride and enjoy the countryside,1
7,0.875,"['Go to station', 'Buy a ticket at the window', 'Wait on platform for train', 'Get on train', 'Find a seat', 'Give ticket to conductor', 'Ride and enjoy the countryside']","['Arrive', 'Get on train']",Arrive,0
0,0.0,[],"['find a seat', 'drive to train station']",drive to train station,1
1,0.125,['drive to train station'],"['buy ticket', 'arrive at destination']",buy ticket,0
2,0.25,"['drive to train station', 'buy ticket']","['find a seat', 'wait for train']",wait for train,1
3,0.375,"['drive to train station', 'buy ticket', 'wait for train']","['drive to train station', 'wait ']",wait ,1
4,0.5,"['drive to train station', 'buy ticket', 'wait for train', 'wait ']","['give conductor ticket', 'arrive at destination']",give conductor ticket,0
5,0.625,"['drive to train station', 'buy ticket', 'wait for train', 'wait ', 'give conductor ticket']","['buy ticket', 'find a seat']",find a seat,1
6,0.75,"['drive to train station', 'buy ticket', 'wait for train', 'wait ', 'give conductor ticket', 'find a seat']","['buy ticket', 'sit down']",sit down,1
7,0.875,"['drive to train station', 'buy ticket', 'wait for train', 'wait ', 'give conductor ticket', 'find a seat', 'sit down']","['arrive at destination', 'wait ']",arrive at destination,0
0,0.0,[],"['enter train', 'arrive train station']",arrive train station,1
1,0.2,['arrive train station'],"['wait for train', 'find seat']",wait for train,0
2,0.4,"['arrive train station', 'wait for train']","['enjoy ride', 'enter train']",enter train,1
3,0.6,"['arrive train station', 'wait for train', 'enter train']","['arrive train station', 'find seat']",find seat,1
4,0.8,"['arrive train station', 'wait for train', 'enter train', 'find seat']","['enjoy ride', 'wait for train']",enjoy ride,0
0,0.0,[],"['Enter the train station', 'walk to the train platform']",Enter the train station,0
1,0.125,['Enter the train station'],"['Get tickets from ticket counter', 'get on train.']",Get tickets from ticket counter,0
2,0.25,"['Enter the train station', 'Get tickets from ticket counter']","['step up to train', 'find out what platform the train will be on']",find out what platform the train will be on,1
3,0.375,"['Enter the train station', 'Get tickets from ticket counter', 'find out what platform the train will be on']","['hand your ticket to the conductor', 'walk to the train platform']",walk to the train platform,1
4,0.5,"['Enter the train station', 'Get tickets from ticket counter', 'find out what platform the train will be on', 'walk to the train platform']","['wait until time to board train', 'Get tickets from ticket counter']",wait until time to board train,0
